,交易日期  ,合约代码   ,昨结算    ,今开盘    ,最高价    ,最低价    ,今收盘    ,今结算    ,涨跌1     ,涨跌2     ,成交量(手),持仓量    ,增减量    ,成交额(万元),DELTA     ,隐含波动率,行权量,"window.open(""/cn/gyjys/404.htm"", ""_self"");"
0,2021-01-04,MA102C1825,632.0,0.0,0.0,0.0,0.0,627.0,-5.0,-5.0,0         ,0         ,0         ,0.0,1.0,100.0,0                              ,
1,2021-01-04,MA102C1850,607.0,0.0,0.0,0.0,0.0,602.0,-5.0,-5.0,0         ,0         ,0         ,0.0,1.0,100.0,0                              ,
2,2021-01-04,MA102C1875,582.0,0.0,0.0,0.0,0.0,577.0,-5.0,-5.0,0         ,10        ,0         ,0.0,1.0,97.71,0                              ,
3,2021-01-04,MA102C1900,557.0,0.0,0.0,0.0,0.0,552.0,-5.0,-5.0,0         ,33        ,0         ,0.0,1.0,95.33,0                              ,
4,2021-01-04,MA102C1925,532.0,0.0,0.0,0.0,0.0,527.0,-5.0,-5.0,0         ,68        ,0         ,0.0,1.0,92.92,0                              ,
5,2021-01-04,MA102C1950,507.0,0.0,0.0,0.0,0.0,502.0,-5.0,-5.0,0         ,42        ,0         ,0.0,1.0,90.48,0                              ,
6,2021-01-04,MA102C1975,482.0,0.0,0.0,0.0,0.0,477.0,-5.0,-5.0,0         ,52        ,0         ,0.0,0.9999,88.01,0                              ,
7,2021-01-04,MA102C2000,457.0,0.0,0.0,0.0,0.0,452.0,-5.0,-5.0,0         ,117       ,0         ,0.0,0.9997,85.51,0                              ,
8,2021-01-04,MA102C2025,432.0,0.0,0.0,0.0,0.0,427.0,-5.0,-5.0,0         ,142       ,0         ,0.0,0.9994,82.98,0                              ,
9,2021-01-04,MA102C2050,407.0,0.0,0.0,0.0,0.0,402.0,-5.0,-5.0,0         ,149       ,0         ,0.0,0.9991,80.4,0                              ,
10,2021-01-04,MA102C2075,382.0,0.0,0.0,0.0,0.0,377.0,-5.0,-5.0,0         ,55        ,0         ,0.0,0.9985,77.78,0                              ,
11,2021-01-04,MA102C2100,357.0,0.0,0.0,0.0,0.0,352.0,-5.0,-5.0,0         ,187       ,0         ,0.0,0.9979,75.12,0                              ,
12,2021-01-04,MA102C2125,332.0,0.0,0.0,0.0,0.0,327.0,-5.0,-5.0,0         ,272       ,-10       ,0.0,0.9968,72.4,10                             ,
13,2021-01-04,MA102C2150,307.5,0.0,0.0,0.0,0.0,302.0,-5.5,-5.5,0         ,226       ,0         ,0.0,0.9953,69.64,0                              ,
14,2021-01-04,MA102C2175,282.5,303.0,303.0,303.0,303.0,277.5,20.5,-5.0,3         ,186       ,-3        ,0.91,0.9932,66.81,0                              ,
15,2021-01-04,MA102C2200,257.5,0.0,0.0,0.0,0.0,252.5,-5.0,-5.0,0         ,182       ,0         ,0.0,0.99,63.93,0                              ,
16,2021-01-04,MA102C2225,233.0,0.0,0.0,0.0,0.0,227.5,-5.5,-5.5,0         ,242       ,0         ,0.0,0.9855,60.99,0                              ,
17,2021-01-04,MA102C2250,208.5,0.0,0.0,0.0,0.0,203.0,-5.5,-5.5,0         ,216       ,0         ,0.0,0.9792,58.0,0                              ,
18,2021-01-04,MA102C2275,184.0,0.0,0.0,0.0,0.0,178.0,-6.0,-6.0,0         ,460       ,0         ,0.0,0.9692,54.96,0                              ,
19,2021-01-04,MA102C2300,160.0,182.5,182.5,180.0,180.0,154.0,20.0,-6.0,3         ,75        ,-64       ,0.54,0.9543,51.9,66                             ,
20,2021-01-04,MA102C2325,136.5,0.0,0.0,0.0,0.0,129.5,-7.0,-7.0,0         ,217       ,0         ,0.0,0.9319,48.86,0                              ,
21,2021-01-04,MA102C2350,114.0,127.5,140.5,80.5,127.0,106.0,13.0,-8.0,643       ,170       ,-29       ,69.28,0.8977,45.93,0                              ,
22,2021-01-04,MA102C2375,92.5,91.0,116.5,58.5,104.5,83.5,12.0,-9.0,621       ,268       ,-13       ,51.44,0.8454,43.25,0                              ,
23,2021-01-04,MA102C2400,72.5,65.5,92.5,40.5,81.0,62.5,8.5,-10.0,941       ,218       ,-73       ,53.09,0.7642,41.05,0                              ,
24,2021-01-04,MA102C2425,55.0,51.5,71.5,28.0,62.0,44.0,7.0,-11.0,"1,204     ",496       ,18        ,54.11,0.6527,39.66,0                              ,
25,2021-01-04,MA102C2450,40.5,42.0,53.5,18.0,44.5,29.5,4.0,-11.0,"2,128     ",784       ,187       ,70.33,0.5169,39.38,0                              ,
26,2021-01-04,MA102C2475,29.5,33.0,37.5,12.0,30.0,19.5,0.5,-10.0,"1,451     ","1,165     ",210       ,35.17,0.3829,40.31,0                              ,
27,2021-01-04,MA102C2500,21.5,22.0,24.5,7.5,18.5,12.5,-3.0,-9.0,"3,172     ","1,713     ",154       ,47.98,0.2723,42.27,0                              ,
28,2021-01-04,MA102C2550,11.5,10.0,12.5,3.0,7.0,6.0,-4.5,-5.5,"3,057     ","1,544     ",317       ,16.87,0.1381,47.85,0                              ,
29,2021-01-04,MA102C2600,6.5,4.5,5.0,1.0,2.0,3.0,-4.5,-3.5,"1,893     ","1,907     ",23        ,3.95,0.0739,54.05,0                              ,
30,2021-01-04,MA102C2650,4.0,2.0,2.0,0.5,1.0,2.0,-3.0,-2.0,385       ,"1,391     ",-92       ,0.32,0.0419,60.07,0                              ,
31,2021-01-04,MA102C2700,2.5,0.5,1.0,0.5,0.5,1.0,-2.0,-1.5,259       ,"3,207     ",-51       ,0.14,0.0245,65.69,0                              ,
32,2021-01-04,MA102C2750,1.5,0.5,0.5,0.5,0.5,0.5,-1.0,-1.0,348       ,"2,355     ",-13       ,0.17,0.0149,70.91,0                              ,
33,2021-01-04,MA102C2800,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,587       ,"3,915     ",-127      ,0.29,0.0093,75.77,0                              ,
34,2021-01-04,MA102C2850,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,15        ,"3,027     ",6         ,0.01,0.006,80.3,0                              ,
35,2021-01-04,MA102C2900,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1         ,"3,406     ",0         ,0.0,0.0038,84.54,0                              ,
36,2021-01-04,MA102P1825,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,408       ,0         ,0.0,-0.0,100.0,0                              ,
37,2021-01-04,MA102P1850,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,516       ,0         ,0.0,-0.0,100.0,0                              ,
38,2021-01-04,MA102P1875,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,167       ,0         ,0.0,-0.0001,97.71,0                              ,
39,2021-01-04,MA102P1900,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,192       ,0         ,0.0,-0.0001,95.33,0                              ,
40,2021-01-04,MA102P1925,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,328       ,0         ,0.0,-0.0002,92.92,0                              ,
41,2021-01-04,MA102P1950,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,451       ,0         ,0.0,-0.0002,90.48,0                              ,
42,2021-01-04,MA102P1975,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,613       ,0         ,0.0,-0.0004,88.01,0                              ,
43,2021-01-04,MA102P2000,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,754       ,0         ,0.0,-0.0005,85.51,0                              ,
44,2021-01-04,MA102P2025,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,788       ,0         ,0.0,-0.0008,82.98,0                              ,
45,2021-01-04,MA102P2050,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,512       ,0         ,0.0,-0.0011,80.4,0                              ,
46,2021-01-04,MA102P2075,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,407       ,0         ,0.0,-0.0016,77.78,0                              ,
47,2021-01-04,MA102P2100,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,252       ,0         ,0.0,-0.0022,75.12,0                              ,
48,2021-01-04,MA102P2125,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,315       ,0         ,0.0,-0.0033,72.4,0                              ,
49,2021-01-04,MA102P2150,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0         ,459       ,0         ,0.0,-0.0048,69.64,0                              ,
50,2021-01-04,MA102P2175,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,12        ,613       ,0         ,0.01,-0.0068,66.81,0                              ,
51,2021-01-04,MA102P2200,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,10        ,640       ,0         ,0.01,-0.0101,63.93,0                              ,
52,2021-01-04,MA102P2225,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,22        ,450       ,-1        ,0.01,-0.0145,60.99,0                              ,
53,2021-01-04,MA102P2250,1.5,0.5,0.5,0.5,0.5,1.0,-1.0,-0.5,101       ,429       ,-65       ,0.05,-0.0207,58.0,0                              ,
54,2021-01-04,MA102P2275,2.0,1.0,1.0,0.5,0.5,1.0,-1.5,-1.0,159       ,484       ,-5        ,0.09,-0.0308,54.96,0                              ,
55,2021-01-04,MA102P2300,3.0,0.5,1.5,0.5,0.5,2.0,-2.5,-1.0,822       ,562       ,-420      ,0.58,-0.0456,51.9,0                              ,
56,2021-01-04,MA102P2325,4.5,1.0,3.5,0.5,1.0,2.5,-3.5,-2.0,500       ,610       ,-39       ,0.63,-0.068,48.86,0                              ,
57,2021-01-04,MA102P2350,7.0,2.0,7.0,1.0,1.5,4.0,-5.5,-3.0,909       ,567       ,31        ,2.84,-0.1022,45.93,0                              ,
58,2021-01-04,MA102P2375,10.5,4.5,13.0,2.0,2.5,6.5,-8.0,-4.0,819       ,809       ,-185      ,5.63,-0.1545,43.25,0                              ,
59,2021-01-04,MA102P2400,15.5,5.0,21.0,4.0,5.0,10.5,-10.5,-5.0,"2,025     ",836       ,-41       ,21.71,-0.2356,41.05,0                              ,
60,2021-01-04,MA102P2425,23.0,14.0,33.5,8.5,10.0,17.0,-13.0,-6.0,"1,690     ",624       ,90        ,34.95,-0.3472,39.66,0                              ,
61,2021-01-04,MA102P2450,34.0,21.0,49.5,15.0,18.0,27.5,-16.0,-6.5,"2,586     ",987       ,513       ,73.01,-0.483,39.38,0                              ,
62,2021-01-04,MA102P2475,47.5,30.0,67.0,11.5,27.5,42.5,-20.0,-5.0,"1,212     ",348       ,41        ,54.45,-0.6169,40.31,0                              ,
