,交易日期  ,合约代码   ,昨结算    ,今开盘    ,最高价    ,最低价    ,今收盘    ,今结算    ,涨跌1     ,涨跌2     ,成交量(手),持仓量    ,增减量    ,成交额(万元),DELTA     ,隐含波动率,行权量,"window.open(""/cn/gyjys/404.htm"", ""_self"");"
0,2021-01-04,ZC102C510,240.0,0.0,0.0,0.0,0.0,233.0,-7.0,-7.0,0         ,1         ,0         ,0.0,1.0,100.0,0.0,
1,2021-01-04,ZC102C520,230.0,0.0,0.0,0.0,0.0,223.0,-7.0,-7.0,0         ,1         ,0         ,0.0,1.0,100.0,0.0,
2,2021-01-04,ZC102C530,220.0,0.0,0.0,0.0,0.0,213.0,-7.0,-7.0,0         ,1         ,0         ,0.0,1.0,100.0,0.0,
3,2021-01-04,ZC102C540,210.0,0.0,0.0,0.0,0.0,203.0,-7.0,-7.0,0         ,5         ,0         ,0.0,1.0,100.0,0.0,
4,2021-01-04,ZC102C550,200.0,0.0,0.0,0.0,0.0,193.0,-7.0,-7.0,0         ,8         ,0         ,0.0,1.0,100.0,0.0,
5,2021-01-04,ZC102C560,190.0,0.0,0.0,0.0,0.0,183.0,-7.0,-7.0,0         ,24        ,0         ,0.0,1.0,100.0,0.0,
6,2021-01-04,ZC102C570,180.0,0.0,0.0,0.0,0.0,173.0,-7.0,-7.0,0         ,60        ,0         ,0.0,1.0,100.0,0.0,
7,2021-01-04,ZC102C580,170.0,0.0,0.0,0.0,0.0,163.0,-7.0,-7.0,0         ,110       ,0         ,0.0,0.9999,100.0,0.0,
8,2021-01-04,ZC102C590,160.0,0.0,0.0,0.0,0.0,153.0,-7.0,-7.0,0         ,364       ,-95       ,0.0,0.9994,100.0,95.0,
9,2021-01-04,ZC102C600,150.0,0.0,0.0,0.0,0.0,143.0,-7.0,-7.0,0         ,578       ,0         ,0.0,0.9985,100.0,0.0,
10,2021-01-04,ZC102C610,140.0,0.0,0.0,0.0,0.0,133.0,-7.0,-7.0,0         ,385       ,0         ,0.0,0.9978,96.05,0.0,
11,2021-01-04,ZC102C620,130.0,0.0,0.0,0.0,0.0,123.0,-7.0,-7.0,0         ,143       ,0         ,0.0,0.9969,91.31,0.0,
12,2021-01-04,ZC102C630,120.0,0.0,0.0,0.0,0.0,113.1,-6.9,-6.9,0         ,122       ,0         ,0.0,0.9958,86.45,0.0,
13,2021-01-04,ZC102C640,110.1,114.9,114.9,104.4,110.1,103.1,0.0,-7.0,53        ,239       ,-20       ,59.37,0.9941,81.47,0.0,
14,2021-01-04,ZC102C650,100.1,0.0,0.0,0.0,0.0,93.1,-7.0,-7.0,0         ,210       ,0         ,0.0,0.992,76.37,0.0,
15,2021-01-04,ZC102C660,90.2,86.9,86.9,86.9,86.9,83.1,-3.3,-7.1,3         ,520       ,-3        ,2.61,0.9889,71.18,0.0,
16,2021-01-04,ZC102C670,80.3,74.0,74.0,74.0,74.0,73.2,-6.3,-7.1,1         ,483       ,-3        ,0.74,0.9842,65.94,2.0,
17,2021-01-04,ZC102C680,70.4,0.0,0.0,0.0,0.0,63.3,-7.1,-7.1,0         ,579       ,0         ,0.0,0.9773,60.75,0.0,
18,2021-01-04,ZC102C690,60.7,49.8,52.4,49.8,52.4,53.4,-8.3,-7.3,13        ,516       ,0         ,6.5,0.9658,55.8,0.0,
19,2021-01-04,ZC102C700,51.2,36.5,50.0,36.5,50.0,43.7,-1.2,-7.5,16        ,336       ,6         ,6.39,0.9443,51.37,0.0,
20,2021-01-04,ZC102C710,42.0,30.9,34.2,27.8,33.5,34.2,-8.5,-7.8,96        ,373       ,-60       ,29.91,0.9036,47.8,0.0,
21,2021-01-04,ZC102C720,33.4,25.1,30.6,19.2,29.1,25.3,-4.3,-8.1,950       ,484       ,-190      ,230.84,0.8298,45.35,0.0,
22,2021-01-04,ZC102C730,25.6,16.9,22.3,12.8,21.0,17.5,-4.6,-8.1,"1,054     ",322       ,0         ,181.85,0.7113,44.08,0.0,
23,2021-01-04,ZC102C740,19.0,13.9,15.3,5.0,13.8,11.2,-5.2,-7.8,958       ,288       ,12        ,107.16,0.556,43.81,0.0,
24,2021-01-04,ZC102C750,13.5,9.1,9.6,4.4,7.8,6.7,-5.7,-6.8,"1,224     ",901       ,-10       ,84.98,0.3938,44.29,0.0,
25,2021-01-04,ZC102C760,9.5,15.0,15.0,2.5,4.4,3.8,-5.1,-5.7,"1,053     ",951       ,160       ,46.41,0.2551,45.26,0.0,
26,2021-01-04,ZC102C770,6.4,5.0,5.0,1.3,2.3,2.0,-4.1,-4.4,"1,255     ","1,291     ",43        ,27.99,0.1537,46.56,0.0,
27,2021-01-04,ZC102C780,4.3,2.3,2.3,0.6,1.0,1.1,-3.3,-3.2,742       ,563       ,144       ,7.9,0.088,48.04,0.0,
28,2021-01-04,ZC102C790,2.8,0.8,1.2,0.3,0.6,0.6,-2.2,-2.2,960       ,563       ,201       ,5.62,0.049,49.63,0.0,
29,2021-01-04,ZC102C800,1.9,0.6,0.6,0.1,0.3,0.3,-1.6,-1.6,957       ,"1,595     ",-89       ,2.98,0.0265,51.26,0.0,
30,2021-01-04,ZC102C810,1.2,0.3,0.5,0.1,0.1,0.1,-1.1,-1.1,"1,456     ","2,732     ",-594      ,2.4,0.0138,52.92,0.0,
31,2021-01-04,ZC102P510,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,567       ,0         ,0.0,0.0,100.0,0.0,
32,2021-01-04,ZC102P520,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,248       ,0         ,0.0,0.0,100.0,0.0,
33,2021-01-04,ZC102P530,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,238       ,0         ,0.0,-0.0,100.0,0.0,
34,2021-01-04,ZC102P540,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,185       ,0         ,0.0,-0.0,100.0,0.0,
35,2021-01-04,ZC102P550,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,512       ,0         ,0.0,-0.0,100.0,0.0,
36,2021-01-04,ZC102P560,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,277       ,0         ,0.0,-0.0,100.0,0.0,
37,2021-01-04,ZC102P570,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,508       ,0         ,0.0,-0.0001,100.0,0.0,
38,2021-01-04,ZC102P580,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,935       ,0         ,0.0,-0.0003,100.0,0.0,
39,2021-01-04,ZC102P590,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0         ,"1,478     ",0         ,0.0,-0.0007,100.0,0.0,
