,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
0,sc2109                        ,4125,1403,1403,4471.46,0,0.348645,2021-06-21
1,sc2110                        ,350,249,249,597.11,0,0.345512,2021-06-21
2,sc2109                        ,4612,2298,895,5254.22,0,0.354024,2021-06-22
3,sc2110                        ,768,470,221,1063.25,0,0.345769,2021-06-22
4,sc2109                        ,2907,2836,538,3476.29,0,0.354753,2021-06-23
5,sc2110                        ,465,575,105,823.15,0,0.348368,2021-06-23
6,sc2109                        ,2780,3335,499,3537.305,0,0.346418,2021-06-24
7,sc2110                        ,816,757,182,1694.21,0,0.338996,2021-06-24
8,sc2109                        ,3860,4098,763,4390.395,0,0.344146,2021-06-25
9,sc2110                        ,693,887,130,1231.335,0,0.340085,2021-06-25
10,sc2109                        ,4011,4479,381,4530.85,0,0.343814,2021-06-28
11,sc2110                        ,1301,1056,169,2244.35,0,0.344323,2021-06-28
12,sc2109                        ,3857,4621,142,3993.225,0,0.333063,2021-06-29
13,sc2110                        ,825,1188,132,1428.46,0,0.329563,2021-06-29
14,sc2109                        ,2632,4892,271,2501.39,0,0.328379,2021-06-30
15,sc2110                        ,797,1414,226,1192.7,0,0.332531,2021-06-30
16,sc2109                        ,3547,5212,320,4325.575,0,0.329704,2021-07-01
17,sc2110                        ,1351,1365,-49,2964.26,0,0.328271,2021-07-01
18,sc2109                        ,6035,5848,636,5178.305,0,0.33039,2021-07-02
19,sc2110                        ,1315,1395,30,2059.55,0,0.329326,2021-07-02
20,sc2109                        ,3464,6315,467,3098.95,0,0.329479,2021-07-05
21,sc2110                        ,796,1632,237,1095.155,0,0.329666,2021-07-05
22,sc2109                        ,5677,6688,373,5407.185,0,0.317479,2021-07-06
23,sc2110                        ,1174,1669,37,1520.735,0,0.322356,2021-07-06
24,sc2109                        ,8487,7246,558,8191.88,0,0.309284,2021-07-07
25,sc2110                        ,2444,2040,371,3778.52,0,0.31417,2021-07-07
26,sc2109                        ,10192,8509,1263,9114.57,0,0.327997,2021-07-08
27,sc2110                        ,3106,2231,191,4798.49,0,0.321787,2021-07-08
28,sc2109                        ,7581,9242,733,7495.395,0,0.31633,2021-07-09
29,sc2110                        ,1502,2177,-54,2665.91,0,0.318161,2021-07-09
30,sc2109                        ,5470,9479,237,3831.3,0,0.314211,2021-07-12
31,sc2110                        ,1265,2144,-33,1747.685,0,0.312755,2021-07-12
32,sc2109                        ,3706,9731,252,2126.285,0,0.293372,2021-07-13
33,sc2110                        ,903,2291,147,922.135,0,0.292701,2021-07-13
34,sc2109                        ,4596,9648,-83,3234.5,0,0.287768,2021-07-14
35,sc2110                        ,1367,2548,257,1179.73,0,0.28919,2021-07-14
36,sc2109                        ,8162,9943,295,5762.06,0,0.283329,2021-07-15
37,sc2110                        ,2494,2616,68,2675.945,0,0.290379,2021-07-15
38,sc2109                        ,8758,10919,976,5170.685,0,0.288473,2021-07-16
39,sc2110                        ,1834,2845,229,1886.825,0,0.286685,2021-07-16
40,sc2109                        ,9918,12610,1691,6012.67,0,0.308801,2021-07-19
41,sc2110                        ,1758,3014,169,1786.085,0,0.297918,2021-07-19
42,sc2109                        ,15697,14401,1791,10339.785,0,0.344746,2021-07-20
43,sc2110                        ,3199,3641,627,3050.89,0,0.32665,2021-07-20
44,sc2109                        ,8142,14928,527,5662.775,0,0.355533,2021-07-21
45,sc2110                        ,1863,3975,334,2045.095,0,0.329572,2021-07-21
46,sc2109                        ,9128,13955,-973,5164.86,0,0.32632,2021-07-22
47,sc2110                        ,1616,4005,30,1543.84,0,0.314719,2021-07-22
48,sc2109                        ,9912,13790,-165,4890.98,0,0.315126,2021-07-23
49,sc2110                        ,2756,4118,113,2546.08,2,0.309792,2021-07-23
50,sc2109                        ,6810,13859,69,3347.845,0,0.343555,2021-07-26
51,sc2110                        ,1914,4133,15,1899.94,0,0.315269,2021-07-26
52,sc2111                        ,10,4,4,17.275,0,0.299037,2021-07-26
53,sc2109                        ,7698,13445,-414,3985.48,0,0.33492,2021-07-27
54,sc2110                        ,2398,4356,223,1939.65,0,0.309164,2021-07-27
55,sc2111                        ,20,23,19,29.385,0,0.280584,2021-07-27
56,sc2109                        ,6919,13111,-334,3693.03,0,0.338948,2021-07-28
57,sc2110                        ,2100,4603,247,1954.265,1,0.306079,2021-07-28
58,sc2111                        ,38,43,20,41.77,0,0.284613,2021-07-28
59,小计,9057,17757,-67,5689.065,1,,2021-07-28
60,sc2109                        ,8093,13327,216,4955.63,0,0.31779,2021-07-29
61,sc2110                        ,1948,4934,331,1431.235,0,0.298535,2021-07-29
62,sc2111                        ,34,71,28,36.975,0,0.302191,2021-07-29
63,小计,10075,18332,575,6423.84,0,,2021-07-29
64,sc2109                        ,10156,13111,-216,4808.235,0,0.325214,2021-07-30
65,sc2110                        ,4439,5798,864,3257.2,0,0.304422,2021-07-30
66,sc2111                        ,24,80,9,31.805,0,0.280282,2021-07-30
67,小计,14619,18989,657,8097.24,0,,2021-07-30
68,sc2109                        ,8326,13209,98,3791.25,0,0.347026,2021-08-02
69,sc2110                        ,3106,5816,18,2400.68,0,0.324568,2021-08-02
70,sc2111                        ,306,251,171,402.08,0,0.293113,2021-08-02
71,小计,11738,19276,287,6594.01,0,,2021-08-02
72,sc2109                        ,11008,13013,-196,5583.665,0,0.356632,2021-08-03
73,sc2110                        ,3464,6145,329,2455.76,0,0.335169,2021-08-03
74,sc2111                        ,498,480,229,660.37,0,0.301136,2021-08-03
75,小计,14970,19638,362,8699.795,0,,2021-08-03
76,sc2109                        ,10945,12926,-87,4678.66,0,0.36392,2021-08-04
77,sc2110                        ,4516,6225,80,2230.195,0,0.333074,2021-08-04
78,sc2111                        ,373,571,91,414.84,0,0.302649,2021-08-04
79,小计,15834,19722,84,7323.695,0,,2021-08-04
80,sc2109                        ,12350,12849,-77,5545.04,0,0.359397,2021-08-05
81,sc2110                        ,3806,6687,462,2893.5,0,0.339311,2021-08-05
82,sc2111                        ,430,740,169,436.48,0,0.302602,2021-08-05
83,小计,16586,20276,554,8875.02,0,,2021-08-05
84,sc2109                        ,7369,12575,-274,3200.125,1,0.338161,2021-08-06
85,sc2110                        ,3096,6908,221,1867.875,0,0.33513,2021-08-06
86,sc2111                        ,450,852,112,401.64,0,0.305821,2021-08-06
87,小计,10915,20335,59,5469.64,1,,2021-08-06
88,sc2109                        ,15389,12881,306,5707.99,0,0.413846,2021-08-09
89,sc2110                        ,4050,7442,534,3299.065,0,0.342994,2021-08-09
90,sc2111                        ,1064,1098,246,1075.99,0,0.3039,2021-08-09
91,小计,20503,21421,1086,10083.045,0,,2021-08-09
92,sc2109                        ,12321,12505,-376,5026.815,0,0.412221,2021-08-10
93,sc2110                        ,4682,8009,567,3945.945,0,0.349754,2021-08-10
94,sc2111                        ,1200,1378,280,1129.165,0,0.301997,2021-08-10
95,小计,18203,21892,471,10101.925,0,,2021-08-10
96,sc2109                        ,11904,12362,-143,3538.095,88,0.382831,2021-08-11
97,sc2110                        ,3969,8479,470,2449.99,0,0.335424,2021-08-11
98,sc2111                        ,621,1519,141,661.34,0,0.301947,2021-08-11
99,小计,16494,22360,468,6649.425,88,,2021-08-11
100,sc2109                        ,12345,12617,255,4686.08,41,0.363063,2021-08-12
101,sc2110                        ,4081,8724,245,2803.78,0,0.336168,2021-08-12
102,sc2111                        ,1349,1721,202,1352.64,0,0.301409,2021-08-12
103,小计,17775,23062,702,8842.5,41,,2021-08-12
