,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
0,ru1905                        ,9436,5744,5744,3127.526,0,0.225466,2019-01-28
1,ru1906                        ,292,202,202,242.062,0,0.223695,2019-01-28
2,ru1907                        ,2,2,2,0.3,0,0.2116,2019-01-28
3,ru1908                        ,2,2,2,0.4,0,0.227616,2019-01-28
4,ru1909                        ,1256,892,892,1012.26,0,0.240682,2019-01-28
5,ru1910                        ,,0,0,,0,0.240682,2019-01-28
6,ru1911                        ,12,12,12,4.822,0,0.210646,2019-01-28
7,ru2001                        ,360,242,242,519.202,0,0.320077,2019-01-28
8,ru1905                        ,7902,7604,1860,2748.264,0,0.2312,2019-01-29
9,ru1906                        ,122,254,52,46.512,0,0.21458,2019-01-29
10,ru1907                        ,0,2,0,0,0,0.21458,2019-01-29
11,ru1908                        ,0,2,0,0,0,0.22851,2019-01-29
12,ru1909                        ,1046,1574,682,707.796,0,0.22851,2019-01-29
13,ru1910                        ,,0,0,,0,0.22851,2019-01-29
14,ru1911                        ,16,28,16,8.262,0,0.22011,2019-01-29
15,ru2001                        ,54,256,14,59.224,0,0.239719,2019-01-29
16,ru1905                        ,4706,9106,1502,1392.644,0,0.218713,2019-01-30
17,ru1906                        ,242,336,82,74.828,0,0.216164,2019-01-30
18,ru1907                        ,0,2,0,0,0,0.216164,2019-01-30
19,ru1908                        ,0,2,0,0,0,0.219848,2019-01-30
20,ru1909                        ,350,1692,118,244.774,0,0.219848,2019-01-30
21,ru1910                        ,,0,0,,0,0.219848,2019-01-30
22,ru1911                        ,0,28,0,0,0,0.22996,2019-01-30
23,ru2001                        ,10,258,2,15.29,0,0.22996,2019-01-30
24,ru1905                        ,6200,10568,1462,2030.062,0,0.219124,2019-01-31
25,ru1906                        ,998,750,414,546.006,0,0.216337,2019-01-31
26,ru1907                        ,2,4,2,0.354,0,0.233129,2019-01-31
27,ru1908                        ,2,4,2,0.532,0,0.226459,2019-01-31
28,ru1909                        ,520,1620,-72,361.896,0,0.218281,2019-01-31
29,ru1910                        ,,0,0,,0,0.218281,2019-01-31
30,ru1911                        ,0,28,0,0,0,0.24204,2019-01-31
31,ru2001                        ,4,258,0,2.24,0,0.24204,2019-01-31
32,ru1905                        ,4714,11326,758,1552.772,0,0.22249,2019-02-01
33,ru1906                        ,56,732,-18,39.466,0,0.224902,2019-02-01
34,ru1907                        ,0,4,0,0,0,0.224902,2019-02-01
35,ru1908                        ,0,4,0,0,0,0.219475,2019-02-01
36,ru1909                        ,222,1772,152,141.186,0,0.219475,2019-02-01
37,ru1910                        ,,0,0,,0,0.219475,2019-02-01
38,ru1911                        ,0,28,0,0,0,0.219475,2019-02-01
39,ru2001                        ,0,258,0,0,0,0.219475,2019-02-01
40,ru1905                        ,5002,11342,16,1498.312,0,0.228692,2019-02-11
41,ru1906                        ,500,856,124,139.768,0,0.233339,2019-02-11
42,ru1907                        ,0,4,0,0,0,0.233339,2019-02-11
43,ru1908                        ,0,4,0,0,0,0.240851,2019-02-11
44,ru1909                        ,712,2206,434,365.56,0,0.240851,2019-02-11
45,ru1910                        ,,0,0,,0,0.240851,2019-02-11
46,ru1911                        ,0,28,0,0,0,0.238605,2019-02-11
47,ru2001                        ,62,316,58,72.158,0,0.238605,2019-02-11
48,ru1905                        ,5834,11424,82,2013.038,0,0.225722,2019-02-12
49,ru1906                        ,324,874,18,82.426,0,0.238122,2019-02-12
50,ru1907                        ,0,4,0,0,0,0.238122,2019-02-12
51,ru1908                        ,0,4,0,0,0,0.244624,2019-02-12
52,ru1909                        ,630,2510,304,443.438,0,0.244624,2019-02-12
