,日期,开盘,最高,最低,收盘,成交量,code
0,2017-04-27,0.0436,0.0512,0.03,0.0462,3795,10000893
1,2017-04-28,0.0457,0.0479,0.0446,0.0458,1579,10000893
2,2017-05-02,0.045,0.0466,0.0437,0.0462,1075,10000893
3,2017-05-03,0.0465,0.0476,0.044,0.0469,919,10000893
4,2017-05-04,0.0479,0.0497,0.0426,0.0445,3057,10000893
5,2017-05-05,0.0444,0.0562,0.0438,0.0503,5233,10000893
6,2017-05-08,0.0499,0.0531,0.0455,0.046,2908,10000893
7,2017-05-09,0.0464,0.048,0.044,0.0454,1420,10000893
8,2017-05-10,0.0454,0.0454,0.0387,0.042,1365,10000893
9,2017-05-11,0.0418,0.0429,0.0387,0.0391,1187,10000893
10,2017-05-12,0.0391,0.0391,0.0322,0.0341,7349,10000893
11,2017-05-15,0.0341,0.0341,0.0297,0.0311,3349,10000893
12,2017-05-16,0.0311,0.0333,0.027,0.0272,2980,10000893
13,2017-05-17,0.0271,0.0285,0.0266,0.0276,2367,10000893
14,2017-05-18,0.0298,0.0333,0.0278,0.0276,3134,10000893
15,2017-05-19,0.029,0.0315,0.028,0.0309,938,10000893
16,2017-05-22,0.0303,0.0311,0.027,0.027,1961,10000893
17,2017-05-23,0.027,0.027,0.0225,0.024,3795,10000893
18,2017-05-24,0.0235,0.0294,0.0224,0.0248,2478,10000893
19,2017-05-25,0.0252,0.0319,0.0221,0.0226,9444,10000893
20,2017-05-26,0.0221,0.0255,0.0195,0.0195,3906,10000893
21,2017-05-31,0.0195,0.0222,0.0172,0.0202,2933,10000893
22,2017-06-01,0.021,0.023,0.0194,0.0208,2072,10000893
23,2017-06-02,0.0206,0.025,0.0206,0.0249,4024,10000893
24,2017-06-05,0.0253,0.0305,0.0246,0.0293,2968,10000893
25,2017-06-06,0.03,0.03,0.0263,0.0275,1294,10000893
26,2017-06-07,0.027,0.0289,0.0253,0.0278,1873,10000893
27,2017-06-08,0.0292,0.0308,0.0276,0.0292,1363,10000893
28,2017-06-09,0.0293,0.0347,0.028,0.0304,2161,10000893
29,2017-06-12,0.0311,0.0327,0.0292,0.0325,3886,10000893
30,2017-06-13,0.0323,0.0349,0.0275,0.0276,1006,10000893
31,2017-06-14,0.0277,0.0297,0.0264,0.0283,1420,10000893
32,2017-06-15,0.0278,0.0307,0.0263,0.0274,1302,10000893
33,2017-06-16,0.0277,0.0277,0.0233,0.0253,1012,10000893
34,2017-06-19,0.0255,0.0255,0.0194,0.0194,1464,10000893
35,2017-06-20,0.0188,0.0248,0.0188,0.0236,1525,10000893
36,2017-06-21,0.0229,0.0252,0.019,0.0193,1010,10000893
37,2017-06-22,0.0199,0.0217,0.0186,0.0206,2276,10000893
