,日期,开盘,最高,最低,收盘,成交量,code
0,2017-08-03,0.0757,0.0798,0.0625,0.0625,8492998,10000983
1,2017-08-04,0.0603,0.0634,0.053,0.053,2618076,10000983
2,2017-08-07,0.0501,0.059,0.0496,0.0554,3839485,10000983
3,2017-08-08,0.0564,0.0564,0.0499,0.0521,2952324,10000983
4,2017-08-09,0.0522,0.0522,0.043,0.043,1724015,10000983
5,2017-08-10,0.0439,0.0465,0.0329,0.0358,6323351,10000983
6,2017-08-11,0.0341,0.0341,0.03,0.0307,7415681,10000983
7,2017-08-14,0.0302,0.0317,0.0269,0.0307,5543511,10000983
8,2017-08-15,0.032,0.04,0.032,0.0357,5523500,10000983
9,2017-08-16,0.0335,0.0337,0.0311,0.032,3349545,10000983
10,2017-08-17,0.0314,0.0361,0.0304,0.0347,2773854,10000983
11,2017-08-18,0.0324,0.0389,0.031,0.0374,5146603,10000983
12,2017-08-21,0.0399,0.043,0.0338,0.0358,3283468,10000983
13,2017-08-22,0.0366,0.0388,0.0351,0.0384,4090712,10000983
14,2017-08-23,0.0385,0.0532,0.0385,0.0489,7142658,10000983
15,2017-08-24,0.0489,0.0533,0.0426,0.0436,4117213,10000983
16,2017-08-25,0.0451,0.0764,0.044,0.0764,13291549,10000983
17,2017-08-28,0.076,0.108,0.076,0.0887,44074234,10000983
18,2017-08-29,0.0871,0.0909,0.0832,0.0861,8071098,10000983
19,2017-08-30,0.0866,0.0982,0.0779,0.08,20965164,10000983
20,2017-08-31,0.0796,0.0849,0.0716,0.075,11804336,10000983
21,2017-09-01,0.0767,0.0854,0.071,0.0757,4544243,10000983
22,2017-09-04,0.0751,0.0767,0.0668,0.0749,3803604,10000983
23,2017-09-05,0.0751,0.0912,0.0751,0.0845,8769237,10000983
24,2017-09-06,0.0803,0.0818,0.0705,0.0753,8033208,10000983
25,2017-09-07,0.0758,0.0814,0.0652,0.0656,5071318,10000983
26,2017-09-08,0.0686,0.0709,0.0617,0.0637,1568731,10000983
27,2017-09-11,0.0635,0.0725,0.0611,0.0618,3369853,10000983
28,2017-09-12,0.0658,0.0699,0.0619,0.0682,5245744,10000983
29,2017-09-13,0.0679,0.0703,0.0633,0.067,2802864,10000983
30,2017-09-14,0.0686,0.0703,0.0531,0.056,2633942,10000983
31,2017-09-15,0.0555,0.0594,0.052,0.054,3609850,10000983
32,2017-09-18,0.0546,0.0631,0.0542,0.0559,4436209,10000983
33,2017-09-19,0.0565,0.0589,0.0484,0.05,2135915,10000983
34,2017-09-20,0.05,0.0514,0.047,0.048,3829890,10000983
35,2017-09-21,0.0464,0.0572,0.0464,0.0497,3580870,10000983
36,2017-09-22,0.0497,0.0522,0.0431,0.049,4360539,10000983
37,2017-09-25,0.0451,0.0501,0.0449,0.0467,3176121,10000983
38,2017-09-26,0.0466,0.0486,0.0459,0.0463,671206,10000983
39,2017-09-27,0.0451,0.0465,0.04,0.04,1464504,10000983
40,2017-09-28,0.0421,0.0421,0.033,0.0372,4299609,10000983
41,2017-09-29,0.0369,0.0432,0.0369,0.042,3765897,10000983
42,2017-10-09,0.06,0.0673,0.04,0.042,18409967,10000983
43,2017-10-10,0.0413,0.0454,0.0366,0.0405,8361057,10000983
44,2017-10-11,0.0395,0.0477,0.0395,0.0437,10318316,10000983
45,2017-10-12,0.0435,0.048,0.0415,0.0465,5667497,10000983
46,2017-10-13,0.0457,0.0485,0.0438,0.0441,6591174,10000983
47,2017-10-16,0.0442,0.0522,0.042,0.0433,11565318,10000983
48,2017-10-17,0.0433,0.046,0.0372,0.0391,9939903,10000983
49,2017-10-18,0.039,0.0446,0.0386,0.0442,3640785,10000983
50,2017-10-18,0.039,0.0446,0.0386,0.0442,3640785,10000983
51,2017-10-19,0.0444,0.0463,0.0412,0.0429,9285962,10000983
52,2017-10-20,0.0427,0.0427,0.0357,0.036,9711623,10000983
53,2017-10-23,0.0359,0.0387,0.0323,0.0339,4214577,10000983
54,2017-10-24,0.0327,0.046,0.0321,0.0438,30669428,10000983
55,2017-10-25,0.0451,0.0462,0.0415,0.042,17679441,10000983
56,2017-10-26,0.0412,0.0575,0.0412,0.052,78046236,10000983
57,2017-10-27,0.0545,0.067,0.0523,0.0662,139816641,10000983
58,2017-10-30,0.068,0.0733,0.051,0.0587,178230470,10000983
59,2017-10-31,0.0589,0.0589,0.0522,0.055,63669314,10000983
60,2017-11-01,0.0552,0.0651,0.047,0.0492,147323156,10000983
61,2017-11-02,0.0482,0.0504,0.0434,0.0499,68963397,10000983
62,2017-11-03,0.0499,0.0514,0.0404,0.0511,60837537,10000983
63,2017-11-06,0.0496,0.0496,0.0417,0.0458,79229105,10000983
64,2017-11-07,0.047,0.0665,0.047,0.0643,172777663,10000983
65,2017-11-08,0.0651,0.0833,0.0635,0.0656,198235939,10000983
66,2017-11-09,0.0648,0.0708,0.0621,0.0693,94988731,10000983
67,2017-11-10,0.0693,0.097,0.0672,0.0945,184757268,10000983
68,2017-11-13,0.0954,0.1127,0.0954,0.102,133220277,10000983
69,2017-11-14,0.0979,0.1074,0.0903,0.0943,76350599,10000983
70,2017-11-15,0.0899,0.0938,0.0807,0.0828,91964747,10000983
71,2017-11-16,0.0795,0.1079,0.0795,0.1065,129870148,10000983
72,2017-11-17,0.1056,0.1466,0.1025,0.1453,272524117,10000983
73,2017-11-20,0.1444,0.1598,0.1234,0.1585,175835489,10000983
74,2017-11-21,0.1577,0.2327,0.152,0.2091,214511578,10000983
75,2017-11-22,0.221,0.2607,0.2152,0.225,126088298,10000983
76,2017-11-23,0.226,0.2432,0.1316,0.1534,81573051,10000983
77,2017-11-24,0.151,0.1727,0.1398,0.1595,218649793,10000983
78,2017-11-27,0.1561,0.1564,0.119,0.1383,223655436,10000983
79,2017-11-28,0.1364,0.1364,0.1085,0.123,111793280,10000983
80,2017-11-29,0.1282,0.1409,0.0949,0.1182,79864266,10000983
81,2017-11-30,0.1161,0.1245,0.0901,0.0975,91693572,10000983
82,2017-12-01,0.094,0.1044,0.0804,0.0804,95699400,10000983
83,2017-12-04,0.0781,0.1,0.0715,0.0892,88570531,10000983
84,2017-12-05,0.08,0.1327,0.0797,0.1247,117011164,10000983
85,2017-12-06,0.1239,0.1239,0.08,0.0975,107993086,10000983
