,日期,开盘,最高,最低,收盘,成交量,code
0,2017-11-28,0.1348,0.1366,0.1071,0.1214,43011042,10001085
1,2017-11-29,0.1222,0.1389,0.0935,0.1143,98162209,10001085
2,2017-11-30,0.1135,0.1236,0.0893,0.0952,103192961,10001085
3,2017-12-01,0.0907,0.1027,0.078,0.078,230965202,10001085
4,2017-12-04,0.0726,0.098,0.0697,0.088,151723418,10001085
5,2017-12-05,0.0845,0.1319,0.075,0.1237,187147370,10001085
6,2017-12-06,0.1236,0.1236,0.0783,0.0964,184249379,10001085
7,2017-12-07,0.0941,0.1006,0.061,0.0682,180120354,10001085
8,2017-12-08,0.0679,0.0916,0.0645,0.0841,241227688,10001085
9,2017-12-11,0.0838,0.1075,0.0795,0.1072,114566697,10001085
10,2017-12-12,0.107,0.1137,0.0676,0.0684,107859653,10001085
11,2017-12-13,0.0692,0.0921,0.0608,0.0841,207731341,10001085
12,2017-12-14,0.0843,0.0929,0.0605,0.067,205949451,10001085
13,2017-12-15,0.0659,0.0671,0.0411,0.0418,470999001,10001085
14,2017-12-18,0.0423,0.0589,0.0395,0.0472,919390596,10001085
15,2017-12-19,0.05,0.0778,0.0466,0.0776,792345988,10001085
16,2017-12-20,0.0784,0.0895,0.066,0.0779,279957530,10001085
17,2017-12-21,0.0775,0.113,0.0662,0.0958,209247158,10001085
18,2017-12-22,0.0941,0.1034,0.0793,0.0827,27721714,10001085
19,2017-12-25,0.0818,0.1143,0.0672,0.0759,79837088,10001085
20,2017-12-26,0.0767,0.0951,0.0688,0.0902,50150582,10001085
21,2017-12-27,0.0902,0.0903,0.004,0.004,53435744,10001085
