,日期,开盘,最高,最低,收盘,成交量,code
0,2017-11-28,0.0596,0.0755,0.0596,0.064,45610604,10001102
1,2017-11-29,0.0649,0.0858,0.0565,0.0699,59526009,10001102
2,2017-11-30,0.0705,0.092,0.0658,0.0896,62607164,10001102
3,2017-12-01,0.0932,0.1101,0.0877,0.1101,26155590,10001102
4,2017-12-04,0.1115,0.1193,0.0841,0.0855,11266196,10001102
5,2017-12-05,0.0882,0.0956,0.0548,0.0605,46712551,10001102
6,2017-12-06,0.0613,0.1007,0.0613,0.0798,76632311,10001102
7,2017-12-07,0.0808,0.1072,0.0751,0.096,37958003,10001102
8,2017-12-08,0.0955,0.1008,0.0719,0.0774,26350573,10001102
9,2017-12-11,0.0756,0.0812,0.0577,0.0577,44706817,10001102
10,2017-12-12,0.0585,0.0835,0.0547,0.0821,47778427,10001102
11,2017-12-13,0.0829,0.0915,0.0653,0.0693,38310815,10001102
12,2017-12-14,0.0697,0.0875,0.0654,0.0784,51583771,10001102
13,2017-12-15,0.0801,0.105,0.0801,0.0994,48595241,10001102
14,2017-12-18,0.0998,0.0998,0.0807,0.09,55635891,10001102
15,2017-12-19,0.0897,0.0897,0.0633,0.0633,34387581,10001102
16,2017-12-20,0.0634,0.0695,0.0573,0.0624,74205027,10001102
17,2017-12-21,0.064,0.0703,0.0446,0.0495,169914299,10001102
18,2017-12-22,0.0513,0.0568,0.0471,0.054,74685771,10001102
19,2017-12-25,0.0549,0.0597,0.0383,0.0566,229059949,10001102
20,2017-12-26,0.0574,0.0592,0.0421,0.0431,372081720,10001102
21,2017-12-27,0.0417,0.0855,0.0417,0.0833,444238642,10001102
22,2017-12-28,0.0826,0.0861,0.0578,0.0662,344892877,10001102
23,2017-12-29,0.0659,0.0692,0.0523,0.0612,285638696,10001102
24,2018-01-02,0.0598,0.0598,0.033,0.0339,699721368,10001102
25,2018-01-03,0.0328,0.0342,0.0205,0.0304,987380906,10001102
26,2018-01-04,0.0299,0.032,0.0227,0.0305,456095618,10001102
27,2018-01-05,0.0284,0.0294,0.0203,0.024,400172076,10001102
28,2018-01-08,0.023,0.0243,0.0158,0.0192,358520616,10001102
29,2018-01-09,0.019,0.0195,0.0088,0.0088,375560654,10001102
30,2018-01-10,0.009,0.011,0.0057,0.0075,339954765,10001102
31,2018-01-11,0.0075,0.0081,0.0048,0.0051,94986553,10001102
32,2018-01-12,0.0058,0.0058,0.0035,0.0036,52417913,10001102
33,2018-01-15,0.0034,0.0037,0.0021,0.0032,67249235,10001102
34,2018-01-16,0.0032,0.0037,0.001,0.001,33410701,10001102
35,2018-01-17,0.0009,0.0025,0.0009,0.0015,84004941,10001102
36,2018-01-18,0.0014,0.0019,0.0008,0.0011,11520835,10001102
37,2018-01-19,0.001,0.0014,0.0006,0.0008,16826000,10001102
38,2018-01-22,0.0006,0.0011,0.0002,0.0002,6971549,10001102
39,2018-01-23,0.0002,0.0003,0.0001,0.0002,3843665,10001102
40,2018-01-24,0.0001,0.0002,0.0001,0.0001,1272722,10001102
