,日期,开盘,最高,最低,收盘,成交量,code
0,2018-07-26,0.1077,0.1091,0.0843,0.0862,4691946,10001425
1,2018-07-26,0.1077,0.1091,0.0843,0.0862,4691946,10001425
2,2018-07-27,0.0834,0.0927,0.0812,0.0877,585461,10001425
3,2018-07-30,0.0872,0.0964,0.0841,0.0892,741369,10001425
4,2018-07-30,0.0872,0.0964,0.0841,0.0892,741369,10001425
5,2018-07-31,0.0884,0.0977,0.0866,0.094,300591,10001425
6,2018-07-31,0.0884,0.0977,0.0866,0.094,300591,10001425
7,2018-08-01,0.0947,0.104,0.0791,0.0833,642038,10001425
8,2018-08-01,0.0947,0.104,0.0791,0.0833,642038,10001425
9,2018-08-02,0.0702,0.081,0.0688,0.0735,1943177,10001425
10,2018-08-02,0.0702,0.081,0.0688,0.0735,1943177,10001425
11,2018-08-03,0.0749,0.0769,0.0673,0.0681,773530,10001425
12,2018-08-06,0.0689,0.0739,0.0656,0.068,1285628,10001425
13,2018-08-07,0.073,0.0886,0.0699,0.0867,1445403,10001425
14,2018-08-08,0.0873,0.0897,0.0776,0.0788,826406,10001425
15,2018-08-08,0.0873,0.0897,0.0776,0.0788,826406,10001425
16,2018-08-09,0.0782,0.1,0.0782,0.0964,1407669,10001425
17,2018-08-09,0.0782,0.1,0.0782,0.0964,1407669,10001425
18,2018-08-10,0.0951,0.1002,0.0882,0.0934,309145,10001425
19,2018-08-10,0.0951,0.1002,0.0882,0.0934,309145,10001425
20,2018-08-13,0.0883,0.0892,0.0781,0.0864,983883,10001425
21,2018-08-13,0.0883,0.0892,0.0781,0.0864,983883,10001425
22,2018-08-14,0.0841,0.088,0.0799,0.0836,350095,10001425
23,2018-08-14,0.0841,0.088,0.0799,0.0836,350095,10001425
24,2018-08-15,0.0834,0.0834,0.0727,0.0728,573802,10001425
25,2018-08-15,0.0834,0.0834,0.0727,0.0728,573802,10001425
26,2018-08-16,0.0717,0.0797,0.0661,0.0718,9317433,10001425
27,2018-08-17,0.0729,0.0831,0.0624,0.064,3059346,10001425
28,2018-08-20,0.0652,0.07,0.0612,0.0686,4456958,10001425
29,2018-08-20,0.0652,0.07,0.0612,0.0686,4456958,10001425
