,日期,开盘,最高,最低,收盘,成交量,code
0,2018-07-26,0.122,0.122,0.1129,0.118,128968,10001428
1,2018-07-26,0.122,0.122,0.1129,0.118,128968,10001428
2,2018-07-27,0.117,0.1209,0.1135,0.115,48067,10001428
3,2018-07-30,0.1129,0.1182,0.1054,0.1161,166023,10001428
4,2018-07-30,0.1129,0.1182,0.1054,0.1161,166023,10001428
5,2018-07-31,0.1145,0.1155,0.1092,0.113,19768,10001428
6,2018-07-31,0.1145,0.1155,0.1092,0.113,19768,10001428
7,2018-08-01,0.1094,0.1364,0.1033,0.1361,128449,10001428
8,2018-08-01,0.1094,0.1364,0.1033,0.1361,128449,10001428
9,2018-08-02,0.14,0.1732,0.139,0.1594,897427,10001428
10,2018-08-02,0.14,0.1732,0.139,0.1594,897427,10001428
11,2018-08-03,0.1641,0.177,0.158,0.177,181960,10001428
12,2018-08-06,0.1769,0.1859,0.1631,0.1825,1104033,10001428
13,2018-08-07,0.1818,0.182,0.1493,0.1493,639320,10001428
14,2018-08-08,0.151,0.1679,0.15,0.1669,131380,10001428
15,2018-08-08,0.151,0.1679,0.15,0.1669,131380,10001428
16,2018-08-09,0.1679,0.1679,0.1399,0.1402,176687,10001428
17,2018-08-09,0.1679,0.1679,0.1399,0.1402,176687,10001428
18,2018-08-10,0.1405,0.145,0.1369,0.14,68384,10001428
19,2018-08-10,0.1405,0.145,0.1369,0.14,68384,10001428
20,2018-08-13,0.1434,0.1676,0.1434,0.1484,790880,10001428
21,2018-08-13,0.1434,0.1676,0.1434,0.1484,790880,10001428
22,2018-08-14,0.1444,0.16,0.1365,0.1531,37293,10001428
23,2018-08-14,0.1444,0.16,0.1365,0.1531,37293,10001428
24,2018-08-15,0.154,0.1867,0.154,0.1867,163591,10001428
25,2018-08-15,0.154,0.1867,0.154,0.1867,163591,10001428
26,2018-08-16,0.1867,0.2122,0.174,0.187,4356519,10001428
27,2018-08-17,0.1795,0.2048,0.1748,0.2028,643627,10001428
28,2018-08-20,0.2019,0.2019,0.1807,0.1807,2378496,10001428
29,2018-08-20,0.2019,0.2019,0.1807,0.1807,2378496,10001428
30,2018-08-21,0.1807,0.1807,0.153,0.156,876272,10001428
31,2018-08-21,0.1807,0.1807,0.153,0.156,876272,10001428
32,2018-08-22,0.1565,0.163,0.1507,0.156,422726,10001428
33,2018-08-22,0.1565,0.163,0.1507,0.156,422726,10001428
34,2018-08-23,0.1553,0.163,0.1418,0.1468,1319587,10001428
35,2018-08-23,0.1553,0.163,0.1418,0.1468,1319587,10001428
36,2018-08-24,0.1553,0.1579,0.1346,0.1458,387887,10001428
37,2018-08-24,0.1553,0.1579,0.1346,0.1458,387887,10001428
38,2018-08-27,0.1422,0.1422,0.1242,0.1244,389412,10001428
39,2018-08-27,0.1422,0.1422,0.1242,0.1244,389412,10001428
40,2018-08-28,0.123,0.1295,0.12,0.1269,252024,10001428
41,2018-08-28,0.123,0.1295,0.12,0.1269,252024,10001428
42,2018-08-29,0.1301,0.1332,0.1276,0.1332,631630,10001428
43,2018-08-29,0.1301,0.1332,0.1276,0.1332,631630,10001428
44,2018-08-30,0.1294,0.1443,0.1261,0.1443,493929,10001428
45,2018-08-30,0.1294,0.1443,0.1261,0.1443,493929,10001428
46,2018-08-31,0.1478,0.157,0.1414,0.149,195322,10001428
47,2018-08-31,0.1478,0.157,0.1414,0.149,195322,10001428
48,2018-09-03,0.15,0.16,0.1483,0.1483,95358,10001428
49,2018-09-03,0.15,0.16,0.1483,0.1483,95358,10001428
50,2018-09-04,0.1514,0.1562,0.13,0.133,344723,10001428
51,2018-09-04,0.1514,0.1562,0.13,0.133,344723,10001428
52,2018-09-05,0.1371,0.1643,0.1371,0.1635,184885,10001428
53,2018-09-05,0.1371,0.1643,0.1371,0.1635,184885,10001428
54,2018-09-06,0.1643,0.1807,0.1566,0.1746,1341943,10001428
55,2018-09-06,0.1643,0.1807,0.1566,0.1746,1341943,10001428
56,2018-09-07,0.1667,0.1745,0.1525,0.1632,1118071,10001428
57,2018-09-07,0.1667,0.1745,0.1525,0.1632,1118071,10001428
58,2018-09-10,0.1632,0.1743,0.1612,0.1729,214047,10001428
59,2018-09-10,0.1632,0.1743,0.1612,0.1729,214047,10001428
60,2018-09-11,0.1729,0.1822,0.1668,0.1762,690703,10001428
61,2018-09-11,0.1729,0.1822,0.1668,0.1762,690703,10001428
62,2018-09-12,0.1786,0.1853,0.1719,0.18,565752,10001428
63,2018-09-12,0.1786,0.1853,0.1719,0.18,565752,10001428
64,2018-09-13,0.1676,0.1774,0.1609,0.1622,821664,10001428
65,2018-09-13,0.1676,0.1774,0.1609,0.1622,821664,10001428
66,2018-09-14,0.1609,0.1624,0.1497,0.1531,783808,10001428
67,2018-09-14,0.1609,0.1624,0.1497,0.1531,783808,10001428
68,2018-09-17,0.1565,0.1636,0.1565,0.1605,253157,10001428
69,2018-09-17,0.1565,0.1636,0.1565,0.1605,253157,10001428
70,2018-09-18,0.164,0.1641,0.1312,0.1315,1234719,10001428
71,2018-09-18,0.164,0.1641,0.1312,0.1315,1234719,10001428
72,2018-09-19,0.1324,0.1329,0.1123,0.1198,1349757,10001428
73,2018-09-19,0.1324,0.1329,0.1123,0.1198,1349757,10001428
74,2018-09-20,0.1169,0.1178,0.112,0.1162,823598,10001428
75,2018-09-20,0.1169,0.1178,0.112,0.1162,823598,10001428
76,2018-09-21,0.1122,0.1157,0.089,0.0893,2156541,10001428
77,2018-09-25,0.0942,0.0986,0.0929,0.0962,850370,10001428
78,2018-09-25,0.0942,0.0986,0.0929,0.0962,850370,10001428
79,2018-09-26,0.0941,0.0941,0.0759,0.0837,3375916,10001428
80,2018-09-26,0.0941,0.0941,0.0759,0.0837,3375916,10001428
81,2018-09-27,0.0861,0.0887,0.0805,0.0805,209147,10001428
82,2018-09-27,0.0861,0.0887,0.0805,0.0805,209147,10001428
83,2018-09-28,0.0802,0.0825,0.0728,0.0778,318284,10001428
84,2018-09-28,0.0802,0.0825,0.0728,0.0778,318284,10001428
85,2018-10-08,0.0879,0.1202,0.0879,0.1202,905583,10001428
86,2018-10-08,0.0879,0.1202,0.0879,0.1202,905583,10001428
87,2018-10-09,0.1182,0.1196,0.1076,0.1144,268215,10001428
88,2018-10-09,0.1182,0.1196,0.1076,0.1144,268215,10001428
89,2018-10-10,0.1097,0.1205,0.105,0.112,251823,10001428
90,2018-10-10,0.1097,0.1205,0.105,0.112,251823,10001428
91,2018-10-11,0.1339,0.1822,0.1339,0.1752,1909965,10001428
92,2018-10-11,0.1339,0.1822,0.1339,0.1752,1909965,10001428
93,2018-10-12,0.1713,0.1713,0.14,0.1425,2152556,10001428
94,2018-10-12,0.1713,0.1713,0.14,0.1425,2152556,10001428
95,2018-10-15,0.1439,0.1563,0.143,0.1545,1231900,10001428
96,2018-10-15,0.1439,0.1563,0.143,0.1545,1231900,10001428
97,2018-10-16,0.147,0.16,0.1312,0.1552,2464468,10001428
98,2018-10-16,0.147,0.16,0.1312,0.1552,2464468,10001428
99,2018-10-17,0.14,0.1757,0.1372,0.152,3305515,10001428
100,2018-10-18,0.1588,0.1833,0.1588,0.1812,3543366,10001428
101,2018-10-18,0.1588,0.1833,0.1588,0.1812,3543366,10001428
102,2018-10-19,0.1975,0.1988,0.148,0.1491,2656029,10001428
103,2018-10-19,0.1975,0.1988,0.148,0.1491,2656029,10001428
104,2018-10-22,0.1401,0.1405,0.101,0.1076,5464239,10001428
105,2018-10-22,0.1401,0.1405,0.101,0.1076,5464239,10001428
106,2018-10-23,0.1101,0.1432,0.1069,0.1383,889711,10001428
107,2018-10-23,0.1101,0.1432,0.1069,0.1383,889711,10001428
108,2018-10-24,0.1402,0.1402,0.1145,0.1366,4211460,10001428
109,2018-10-24,0.1402,0.1402,0.1145,0.1366,4211460,10001428
110,2018-10-25,0.1488,0.1641,0.14,0.1411,3075892,10001428
111,2018-10-25,0.1488,0.1641,0.14,0.1411,3075892,10001428
112,2018-10-26,0.1368,0.1539,0.1308,0.1464,3353455,10001428
113,2018-10-26,0.1368,0.1539,0.1308,0.1464,3353455,10001428
114,2018-10-29,0.1433,0.1846,0.1433,0.178,2368242,10001428
115,2018-10-29,0.1433,0.1846,0.1433,0.178,2368242,10001428
116,2018-10-30,0.1794,0.1813,0.1546,0.1695,1715450,10001428
117,2018-10-31,0.1655,0.1718,0.1541,0.1619,882481,10001428
118,2018-11-01,0.15,0.1524,0.1348,0.15,2748396,10001428
119,2018-11-01,0.15,0.1524,0.1348,0.15,2748396,10001428
120,2018-11-02,0.1389,0.1389,0.1176,0.1176,3134181,10001428
121,2018-11-05,0.126,0.1355,0.1247,0.1302,1105245,10001428
122,2018-11-06,0.1311,0.1414,0.13,0.1394,1750112,10001428
123,2018-11-07,0.1375,0.1485,0.1298,0.1478,4984559,10001428
124,2018-11-08,0.1423,0.1448,0.1331,0.1421,3525252,10001428
125,2018-11-09,0.1458,0.1626,0.1458,0.1625,2359737,10001428
126,2018-11-12,0.1634,0.1678,0.1591,0.1618,2552407,10001428
127,2018-11-13,0.1733,0.1763,0.1442,0.1514,3470758,10001428
128,2018-11-14,0.1539,0.1673,0.1512,0.1663,400427,10001428
129,2018-11-15,0.1633,0.1655,0.1459,0.1487,914773,10001428
130,2018-11-16,0.1463,0.1524,0.133,0.1443,2258153,10001428
131,2018-11-19,0.1449,0.1449,0.1251,0.1254,1025503,10001428
132,2018-11-20,0.1317,0.1414,0.128,0.1389,1322814,10001428
133,2018-11-21,0.1467,0.1467,0.133,0.1347,2028092,10001428
134,2018-11-22,0.1334,0.1449,0.1334,0.139,1756669,10001428
135,2018-11-23,0.138,0.1483,0.1344,0.1483,3684815,10001428
136,2018-11-26,0.1465,0.151,0.138,0.148,1785011,10001428
137,2018-11-27,0.145,0.1518,0.1388,0.1464,2479218,10001428
138,2018-11-28,0.1457,0.1457,0.1268,0.1288,2495918,10001428
139,2018-11-29,0.123,0.1313,0.117,0.1303,2019561,10001428
140,2018-11-30,0.1308,0.1348,0.1252,0.1288,1079837,10001428
141,2018-12-03,0.1056,0.1107,0.0895,0.0917,1613241,10001428
142,2018-12-04,0.0936,0.095,0.0792,0.0809,1023729,10001428
143,2018-12-05,0.0879,0.0879,0.0806,0.083,608439,10001428
144,2018-12-06,0.0892,0.1028,0.0892,0.1011,624470,10001428
145,2018-12-07,0.1014,0.1014,0.0938,0.0992,125022,10001428
146,2018-12-10,0.1054,0.1111,0.0999,0.1081,358502,10001428
147,2018-12-11,0.1041,0.1081,0.1009,0.1044,525568,10001428
148,2018-12-12,0.0993,0.1023,0.093,0.1001,130418,10001428
149,2018-12-12,0.0993,0.1023,0.093,0.1001,130418,10001428
150,2018-12-13,0.0952,0.0987,0.08,0.0857,1182137,10001428
