,日期,开盘,最高,最低,收盘,成交量,code
0,2020-07-10,0.9355,0.9931,0.9195,0.971,1665691,10002720
1,2020-07-13,0.9414,0.9674,0.8384,0.8804,2611571,10002720
2,2020-07-14,0.8779,0.988,0.8697,0.9233,1966276,10002720
3,2020-07-15,0.9105,0.9946,0.8944,0.9795,1686834,10002720
4,2020-07-16,0.964,1.1887,0.9374,1.1887,1177949,10002720
5,2020-07-17,1.1931,1.1948,1.1356,1.1783,722403,10002720
6,2020-07-20,1.1115,1.1617,1.0354,1.0464,1273059,10002720
7,2020-07-21,1.0309,1.0531,1.0114,1.0323,443635,10002720
8,2020-07-22,1.0355,1.038,0.92,1.0179,598930,10002720
9,2020-07-23,1.05,1.0957,0.9759,1.0053,3553189,10002720
10,2020-07-24,1.0319,1.2205,1.029,1.1745,4483041,10002720
11,2020-07-27,1.1661,1.2186,1.1563,1.1857,927984,10002720
12,2020-07-28,1.1569,1.1857,1.1247,1.1857,238699,10002720
13,2020-07-29,1.14,1.14,1.013,1.013,719354,10002720
14,2020-07-30,1.0132,1.0519,0.9972,1.0505,174410,10002720
15,2020-07-31,1.0169,1.1027,0.9469,1.0242,1494931,10002720
16,2020-08-03,0.9889,0.9905,0.9475,0.9496,583848,10002720
17,2020-08-04,0.9398,0.9558,0.9166,0.938,351828,10002720
18,2020-08-05,0.9425,1.002,0.9355,0.9404,687111,10002720
19,2020-08-06,0.9357,1.0413,0.9356,0.9615,1866190,10002720
20,2020-08-07,0.9742,1.0856,0.9742,1.0024,1183490,10002720
21,2020-08-10,1.0342,1.0753,0.9494,0.9949,956927,10002720
22,2020-08-11,0.9874,1.05,0.9216,1.05,415098,10002720
23,2020-08-12,1.0578,1.1326,1.0362,1.0576,1818690,10002720
24,2020-08-13,1.0589,1.0781,1.0533,1.0767,66870,10002720
25,2020-08-14,1.0729,1.0765,0.9749,0.9749,271392,10002720
26,2020-08-17,0.7995,0.9448,0.7995,0.8704,658122,10002720
27,2020-08-18,0.8703,0.9041,0.8587,0.8976,153198,10002720
28,2020-08-19,0.8959,0.9528,0.8876,0.9519,135014,10002720
29,2020-08-20,0.9841,1.0268,0.974,1.0082,160961,10002720
30,2020-08-21,0.9833,1.003,0.9476,0.9984,552066,10002720
31,2020-08-24,0.9387,0.9512,0.9225,0.9466,315397,10002720
32,2020-08-25,0.9338,0.9338,0.8934,0.9302,931505,10002720
33,2020-08-26,0.932,1.0085,0.911,1.007,1766379,10002720
