,日期,开盘,最高,最低,收盘,成交量,code
0,2021-02-25,0.1005,0.1187,0.0905,0.0968,132052891,10003286
1,2021-02-26,0.0791,0.0834,0.0677,0.0695,174858949,10003286
2,2021-03-01,0.0721,0.0805,0.0698,0.0783,91527140,10003286
3,2021-03-02,0.0822,0.0857,0.0487,0.0539,148598708,10003286
4,2021-03-03,0.0524,0.0751,0.0522,0.0751,97537420,10003286
5,2021-03-04,0.0674,0.0677,0.0481,0.051,150551532,10003286
6,2021-03-05,0.045,0.058,0.0421,0.0518,160483937,10003286
7,2021-03-08,0.057,0.058,0.028,0.0287,171992123,10003286
8,2021-03-09,0.0289,0.0298,0.0186,0.0194,194655241,10003286
9,2021-03-10,0.0231,0.0244,0.0188,0.02,81510844,10003286
10,2021-03-11,0.0208,0.0297,0.0191,0.0225,106005677,10003286
11,2021-03-12,0.0239,0.0248,0.0162,0.0188,47174027,10003286
12,2021-03-15,0.0167,0.0184,0.0095,0.011,49562322,10003286
13,2021-03-16,0.0118,0.0137,0.0106,0.0117,30293456,10003286
14,2021-03-17,0.0108,0.013,0.0092,0.0112,23781926,10003286
15,2021-03-18,0.0112,0.0141,0.0103,0.0113,19483854,10003286
16,2021-03-19,0.0097,0.0105,0.006,0.0062,38242911,10003286
17,2021-03-22,0.0059,0.0079,0.005,0.0056,15327456,10003286
18,2021-03-23,0.0057,0.0057,0.0042,0.0055,18054977,10003286
19,2021-03-24,0.0052,0.0068,0.0044,0.0048,9130034,10003286
20,2021-03-25,0.0037,0.0048,0.0037,0.0041,11346312,10003286
21,2021-03-26,0.0038,0.005,0.0038,0.0049,16711677,10003286
22,2021-03-29,0.0043,0.0048,0.0035,0.0037,12242504,10003286
23,2021-03-30,0.0032,0.0038,0.003,0.0036,4859125,10003286
24,2021-03-31,0.0031,0.0032,0.0024,0.0026,2903740,10003286
25,2021-04-01,0.0024,0.0032,0.0023,0.0028,4367115,10003286
26,2021-04-02,0.0031,0.0047,0.0028,0.0036,12879127,10003286
27,2021-04-06,0.0036,0.0042,0.0026,0.0026,4388522,10003286
28,2021-04-07,0.0024,0.0028,0.0016,0.0016,3867783,10003286
29,2021-04-08,0.0014,0.0019,0.0013,0.0016,2000340,10003286
30,2021-04-09,0.0015,0.0016,0.001,0.0011,1587759,10003286
31,2021-04-12,0.0011,0.0013,0.0009,0.0009,1658541,10003286
32,2021-04-13,0.001,0.0011,0.0007,0.0008,168019,10003286
33,2021-04-14,0.0009,0.001,0.0006,0.0006,200788,10003286
34,2021-04-15,0.0007,0.0008,0.0005,0.0007,153855,10003286
35,2021-04-16,0.0007,0.0008,0.0004,0.0005,204133,10003286
36,2021-04-19,0.0005,0.001,0.0004,0.0006,793837,10003286
37,2021-04-20,0.0005,0.0007,0.0003,0.0005,280562,10003286
38,2021-04-21,0.0001,0.0005,0.0001,0.0003,93273,10003286
39,2021-04-22,0.0003,0.0004,0.0001,0.0002,324621,10003286
40,2021-04-23,0.0001,0.0004,0.0001,0.0002,263883,10003286
41,2021-04-26,0.0002,0.0004,0.0001,0.0002,118103,10003286
42,2021-04-27,0.0002,0.0004,0.0001,0.0001,118484,10003286
43,2021-04-28,0.0001,0.0001,0.0001,0.0001,2548,10003286
