,日期,开盘,最高,最低,收盘,成交量,code
0,2023-06-05,0.1228,0.1228,0.1078,0.1206,175714,10005582
1,2023-06-06,0.1263,0.1486,0.1263,0.1486,242063,10005582
2,2023-06-07,0.152,0.152,0.152,0.152,3750,10005582
3,2023-06-08,0.1566,0.1706,0.1566,0.1646,28101,10005582
4,2023-06-09,0.1652,0.166,0.1453,0.1453,33416,10005582
5,2023-06-12,0.1504,0.1514,0.1503,0.1503,22374,10005582
6,2023-06-13,0.1519,0.1519,0.1353,0.1353,12059,10005582
7,2023-06-15,0.1407,0.1407,0.1407,0.1407,2090,10005582
8,2023-06-16,0.136,0.136,0.136,0.136,9560,10005582
9,2023-06-19,0.1221,0.1229,0.1221,0.1229,14410,10005582
10,2023-06-20,0.1234,0.1293,0.1197,0.1201,152259,10005582
11,2023-06-21,0.135,0.1479,0.135,0.1479,77600,10005582
12,2023-06-26,0.1532,0.1646,0.147,0.1646,247719,10005582
13,2023-06-27,0.1637,0.1638,0.161,0.1624,51479,10005582
14,2023-06-28,0.1598,0.1747,0.1577,0.1668,66041,10005582
15,2023-06-29,0.17,0.17,0.17,0.17,3080,10005582
16,2023-06-30,0.1672,0.1692,0.1672,0.1691,4835,10005582
17,2023-07-03,0.1702,0.1717,0.1606,0.1647,34336,10005582
18,2023-07-04,0.1677,0.1677,0.1532,0.1532,33497,10005582
19,2023-07-05,0.161,0.1616,0.161,0.1616,1418,10005582
20,2023-07-06,0.172,0.172,0.172,0.172,145,10005582
21,2023-07-07,0.1771,0.1816,0.1771,0.1816,19248,10005582
22,2023-07-10,0.18,0.18,0.1761,0.1761,14004,10005582
23,2023-07-11,0.1758,0.1758,0.1758,0.1758,3408,10005582
24,2023-07-12,0.1878,0.1909,0.1878,0.1909,882,10005582
25,2023-07-13,0.1834,0.1849,0.1789,0.1796,19972,10005582
26,2023-07-17,0.1909,0.1909,0.1909,0.1909,12188,10005582
27,2023-07-20,0.2022,0.2061,0.2022,0.2061,21008,10005582
28,2023-07-21,0.213,0.2197,0.213,0.2197,17110,10005582
29,2023-07-25,0.2135,0.2135,0.2115,0.2115,4174,10005582
30,2023-07-26,0.2138,0.2165,0.2099,0.2164,110525,10005582
