,日期,开盘,最高,最低,收盘,成交量,code
0,2023-10-26,0.1708,0.1745,0.1684,0.1704,1060284,10006237
1,2023-10-27,0.1648,0.1648,0.1486,0.1528,35541,10006237
2,2023-10-30,0.149,0.1501,0.1392,0.1419,18756,10006237
3,2023-10-31,0.1463,0.1468,0.145,0.1468,2830,10006237
4,2023-11-01,0.1414,0.1453,0.1414,0.1453,3355,10006237
5,2023-11-02,0.1477,0.1477,0.1467,0.1467,1162,10006237
6,2023-11-03,0.1511,0.1511,0.1494,0.1494,4096,10006237
7,2023-11-06,0.1338,0.1345,0.1338,0.1345,971,10006237
8,2023-11-08,0.1209,0.127,0.1209,0.127,47020,10006237
9,2023-11-09,0.1274,0.1288,0.1274,0.1286,3404,10006237
10,2023-11-10,0.1305,0.132,0.1295,0.1313,11655,10006237
11,2023-11-13,0.1296,0.1296,0.1296,0.1296,51,10006237
12,2023-11-14,0.1251,0.1288,0.1251,0.1288,51980,10006237
13,2023-11-16,0.1313,0.1349,0.1313,0.1349,12440,10006237
14,2023-11-17,0.1364,0.1364,0.135,0.135,48720,10006237
15,2023-11-20,0.1383,0.1383,0.1383,0.1383,8760,10006237
16,2023-11-21,0.1285,0.1287,0.1267,0.1287,19328,10006237
17,2023-11-22,0.1348,0.135,0.1348,0.135,1363,10006237
18,2023-11-24,0.1442,0.1492,0.1442,0.1492,2297,10006237
19,2023-11-28,0.1491,0.1491,0.1447,0.1447,25568,10006237
20,2023-11-29,0.1495,0.1521,0.1495,0.1521,3437,10006237
21,2023-11-30,0.1551,0.1562,0.151,0.151,14875,10006237
22,2023-12-01,0.1534,0.155,0.1533,0.155,13738,10006237
23,2023-12-04,0.146,0.149,0.146,0.149,27850,10006237
24,2023-12-05,0.159,0.1596,0.159,0.1596,13115,10006237
25,2023-12-06,0.1615,0.1623,0.1615,0.1623,1225,10006237
26,2023-12-07,0.167,0.168,0.1625,0.1625,23560,10006237
27,2023-12-08,0.1544,0.1544,0.1489,0.1489,5470,10006237
28,2023-12-11,0.1519,0.153,0.1434,0.1436,124895,10006237
29,2023-12-12,0.1408,0.1438,0.1407,0.1438,7717,10006237
30,2023-12-14,0.1498,0.1572,0.1498,0.1572,7600,10006237
31,2023-12-15,0.1644,0.1644,0.1644,0.1644,760,10006237
32,2023-12-18,0.1702,0.1729,0.1675,0.1729,16139,10006237
33,2023-12-19,0.1703,0.1715,0.1698,0.1698,2185,10006237
34,2023-12-20,0.1707,0.1772,0.1707,0.1772,42890,10006237
35,2023-12-21,0.1791,0.1814,0.1773,0.181,28264,10006237
36,2023-12-22,0.1731,0.1754,0.1653,0.1653,231746,10006237
37,2023-12-26,0.1898,0.1904,0.1898,0.1904,111,10006237
38,2023-12-27,0.1889,0.1906,0.1888,0.1906,983146,10006237
39,2023-12-28,0.1872,0.1872,0.1642,0.1694,52858,10006237
40,2023-12-28,0.1872,0.1872,0.1642,0.1694,52858,10006237
41,2023-12-29,0.1669,0.1684,0.1643,0.1644,81673,10006237
42,2024-01-02,0.1697,0.1719,0.1697,0.1719,3779,10006237
43,2024-01-05,0.2052,0.21,0.2052,0.21,6108,10006237
44,2024-01-08,0.2104,0.2392,0.2104,0.2392,200062,10006237
45,2024-01-09,0.2349,0.2397,0.2349,0.2397,29172,10006237
46,2024-01-10,0.2448,0.2503,0.2385,0.2385,28668,10006237
47,2024-01-12,0.2257,0.2257,0.2257,0.2257,4650,10006237
48,2024-01-15,0.2423,0.2423,0.2376,0.2416,20480,10006237
49,2024-01-16,0.2502,0.2502,0.2409,0.2409,7200,10006237
50,2024-01-17,0.2573,0.2629,0.2573,0.2629,790,10006237
51,2024-01-17,0.2573,0.2629,0.2573,0.2629,790,10006237
52,2024-01-18,0.2755,0.2877,0.2619,0.2619,253517,10006237
53,2024-01-18,0.2755,0.2877,0.2619,0.2619,253517,10006237
54,2024-01-19,0.253,0.2576,0.2496,0.2547,74125,10006237
55,2024-01-19,0.253,0.2576,0.2496,0.2547,74125,10006237
56,2024-01-22,0.2711,0.2897,0.2705,0.2849,13283,10006237
57,2024-01-22,0.2711,0.2897,0.2705,0.2849,13283,10006237
58,2024-01-23,0.2894,0.2894,0.269,0.269,115850,10006237
59,2024-01-23,0.2894,0.2894,0.269,0.269,115850,10006237
60,2024-01-24,0.2671,0.2976,0.2671,0.2743,53329,10006237
61,2024-01-24,0.2671,0.2976,0.2671,0.2743,53329,10006237
62,2024-01-25,0.279,0.279,0.2518,0.2528,73121,10006237
63,2024-01-25,0.279,0.279,0.2518,0.2528,73121,10006237
64,2024-01-26,0.2574,0.2574,0.2574,0.2574,28340,10006237
65,2024-01-26,0.2574,0.2574,0.2574,0.2574,28340,10006237
66,2024-01-29,0.2848,0.2848,0.2838,0.2838,8570,10006237
67,2024-01-29,0.2848,0.2848,0.2838,0.2838,8570,10006237
68,2024-01-30,0.2958,0.3008,0.2958,0.3008,254845,10006237
69,2024-01-30,0.2958,0.3008,0.2958,0.3008,254845,10006237
70,2024-01-31,0.3193,0.3293,0.3193,0.3293,105505,10006237
71,2024-01-31,0.3193,0.3293,0.3193,0.3293,105505,10006237
72,2024-02-01,0.3217,0.3217,0.3206,0.3211,79920,10006237
73,2024-02-01,0.3217,0.3217,0.3206,0.3211,79920,10006237
74,2024-02-02,0.3324,0.3611,0.3324,0.3611,23860,10006237
75,2024-02-02,0.3324,0.3611,0.3324,0.3611,23860,10006237
76,2024-02-05,0.3543,0.393,0.3462,0.3462,400590,10006237
