,日期,开盘,最高,最低,收盘,成交量,code
0,2024-01-25,0.1801,0.1846,0.1761,0.1835,9492,10006802
1,2024-01-25,0.1801,0.1846,0.1761,0.1835,9492,10006802
2,2024-01-29,0.1743,0.1743,0.1535,0.1535,40570,10006802
3,2024-01-29,0.1743,0.1743,0.1535,0.1535,40570,10006802
4,2024-01-30,0.1452,0.1452,0.13,0.13,38361,10006802
5,2024-01-30,0.1452,0.1452,0.13,0.13,38361,10006802
6,2024-01-31,0.1206,0.124,0.1148,0.1161,1622256,10006802
7,2024-01-31,0.1206,0.124,0.1148,0.1161,1622256,10006802
8,2024-02-01,0.1165,0.1329,0.1139,0.123,1263911,10006802
9,2024-02-01,0.1165,0.1329,0.1139,0.123,1263911,10006802
10,2024-02-02,0.1166,0.1283,0.0979,0.0979,541819,10006802
11,2024-02-02,0.1166,0.1283,0.0979,0.0979,541819,10006802
12,2024-02-05,0.104,0.1153,0.0905,0.1145,190842,10006802
13,2024-02-05,0.104,0.1153,0.0905,0.1145,190842,10006802
14,2024-02-06,0.108,0.1485,0.108,0.1485,475798,10006802
15,2024-02-06,0.108,0.1485,0.108,0.1485,475798,10006802
16,2024-02-07,0.1704,0.1704,0.1625,0.1625,612052,10006802
17,2024-02-07,0.1704,0.1704,0.1625,0.1625,612052,10006802
18,2024-02-08,0.1785,0.19,0.1753,0.176,1878690,10006802
19,2024-02-08,0.1785,0.19,0.1753,0.176,1878690,10006802
20,2024-02-19,0.1811,0.1811,0.1753,0.1753,8590,10006802
21,2024-02-19,0.1811,0.1811,0.1753,0.1753,8590,10006802
22,2024-02-20,0.173,0.1759,0.173,0.1759,20137,10006802
23,2024-02-20,0.173,0.1759,0.173,0.1759,20137,10006802
24,2024-02-21,0.184,0.1841,0.184,0.1841,13060,10006802
25,2024-02-21,0.184,0.1841,0.184,0.1841,13060,10006802
26,2024-02-22,0.1747,0.1792,0.1747,0.1792,50710,10006802
27,2024-02-22,0.1747,0.1792,0.1747,0.1792,50710,10006802
28,2024-02-26,0.1878,0.1926,0.1867,0.1867,98204,10006802
29,2024-02-26,0.1878,0.1926,0.1867,0.1867,98204,10006802
30,2024-02-27,0.2075,0.211,0.2075,0.211,1398,10006802
31,2024-02-29,0.204,0.2138,0.204,0.2125,83650,10006802
32,2024-03-01,0.223,0.2299,0.223,0.2299,1333,10006802
33,2024-03-04,0.232,0.232,0.232,0.232,1360,10006802
34,2024-03-05,0.2344,0.2344,0.2311,0.2311,9630,10006802
35,2024-03-07,0.2261,0.2261,0.2137,0.2137,6010,10006802
36,2024-03-08,0.2161,0.2167,0.2108,0.2153,26913,10006802
37,2024-03-11,0.228,0.228,0.2257,0.2257,4600,10006802
38,2024-03-12,0.2339,0.2339,0.23,0.2311,23589,10006802
39,2024-03-13,0.2338,0.2376,0.2304,0.2344,40237,10006802
