,日期,开盘,最高,最低,收盘,成交量,code
0,2024-05-27,0.212,0.2206,0.2035,0.2206,21750,10007435
1,2024-05-28,0.2279,0.2279,0.2279,0.2279,804,10007435
2,2024-05-29,0.2166,0.2166,0.2158,0.2158,218,10007435
3,2024-05-31,0.2295,0.2295,0.2255,0.2255,7062,10007435
4,2024-06-03,0.2394,0.2394,0.2288,0.2288,5609,10007435
5,2024-06-04,0.2291,0.234,0.2291,0.2302,4022,10007435
6,2024-06-05,0.2447,0.2447,0.2381,0.2381,3511,10007435
7,2024-06-06,0.237,0.237,0.2353,0.2353,5840,10007435
8,2024-06-07,0.2199,0.2343,0.2199,0.2339,42620,10007435
9,2024-06-11,0.2242,0.2378,0.2242,0.2378,5542,10007435
10,2024-06-13,0.2436,0.253,0.2436,0.253,49621,10007435
11,2024-06-14,0.2403,0.2416,0.2396,0.2408,2410,10007435
12,2024-06-17,0.2461,0.2474,0.2397,0.2422,4051,10007435
13,2024-06-18,0.249,0.2521,0.2404,0.2424,19118,10007435
14,2024-06-19,0.2436,0.2436,0.2372,0.2372,2531,10007435
15,2024-06-20,0.2505,0.2505,0.2412,0.2412,6978,10007435
16,2024-06-21,0.2376,0.2408,0.2373,0.2408,10890,10007435
17,2024-06-24,0.2483,0.2483,0.2219,0.2219,14230,10007435
18,2024-06-25,0.2226,0.2226,0.1801,0.2016,17239,10007435
19,2024-06-26,0.201,0.2174,0.201,0.2174,9701,10007435
20,2024-06-27,0.2086,0.2086,0.2012,0.2012,10239,10007435
