,日期,开盘,最高,最低,收盘,成交量,code
0,2022-12-12,0.0492,0.051,0.046,0.0469,2621,90001435
1,2022-12-13,0.0469,0.0469,0.0385,0.0386,3533,90001435
2,2022-12-14,0.0409,0.0409,0.0357,0.0365,845,90001435
3,2022-12-15,0.0362,0.0413,0.0353,0.0401,1518,90001435
4,2022-12-16,0.0361,0.0364,0.033,0.0332,10340,90001435
5,2022-12-19,0.034,0.0366,0.0274,0.0284,6605,90001435
6,2022-12-20,0.0269,0.0274,0.0237,0.0237,16611,90001435
7,2022-12-21,0.0237,0.0245,0.0201,0.0201,5606,90001435
8,2022-12-22,0.0222,0.0234,0.0213,0.0217,3201,90001435
9,2022-12-23,0.0205,0.022,0.0197,0.0218,4361,90001435
10,2022-12-26,0.0218,0.0263,0.0218,0.0257,3437,90001435
11,2022-12-27,0.025,0.0275,0.025,0.0274,9235,90001435
12,2022-12-28,0.0258,0.0258,0.0215,0.0225,4338,90001435
13,2022-12-29,0.0213,0.024,0.0205,0.0215,6355,90001435
14,2022-12-30,0.0217,0.0228,0.0205,0.0205,1020,90001435
15,2023-01-03,0.02,0.0221,0.0159,0.0212,14275,90001435
16,2023-01-04,0.0205,0.0205,0.0161,0.0176,1036,90001435
17,2023-01-05,0.0185,0.0263,0.0185,0.026,5922,90001435
18,2023-01-06,0.0257,0.0318,0.0255,0.0302,23315,90001435
19,2023-01-09,0.0303,0.0392,0.0303,0.0364,5547,90001435
20,2023-01-10,0.0341,0.0436,0.0332,0.0416,26527,90001435
21,2023-01-11,0.042,0.0445,0.034,0.0348,28722,90001435
22,2023-01-12,0.034,0.0414,0.034,0.0346,23728,90001435
23,2023-01-13,0.0367,0.0415,0.0355,0.0412,9537,90001435
24,2023-01-16,0.0435,0.0792,0.0411,0.0623,418021,90001435
25,2023-01-17,0.0649,0.0706,0.0563,0.0635,69054,90001435
26,2023-01-18,0.0671,0.07,0.0586,0.0618,111362,90001435
27,2023-01-19,0.0588,0.08,0.0565,0.0781,456266,90001435
28,2023-01-20,0.085,0.0917,0.0789,0.08,320256,90001435
29,2023-01-30,0.0997,0.1299,0.083,0.086,1215324,90001435
30,2023-01-31,0.0901,0.0901,0.0637,0.0686,939765,90001435
31,2023-02-01,0.0706,0.083,0.0614,0.083,901046,90001435
32,2023-02-02,0.0858,0.0932,0.0735,0.0746,1163319,90001435
33,2023-02-03,0.0705,0.0766,0.0511,0.0622,1603210,90001435
34,2023-02-06,0.0552,0.0552,0.0407,0.0459,886934,90001435
35,2023-02-07,0.0477,0.0509,0.0376,0.0432,612344,90001435
36,2023-02-08,0.0432,0.0455,0.0349,0.0361,765150,90001435
37,2023-02-09,0.0355,0.0507,0.0325,0.0497,2214478,90001435
38,2023-02-10,0.0497,0.0507,0.0344,0.037,1556869,90001435
39,2023-02-13,0.0371,0.0489,0.0356,0.045,3190266,90001435
40,2023-02-14,0.0458,0.0477,0.0369,0.0411,2471636,90001435
41,2023-02-15,0.0419,0.0445,0.0303,0.0303,3312297,90001435
42,2023-02-16,0.0313,0.0365,0.0178,0.019,9553146,90001435
43,2023-02-17,0.0184,0.0195,0.0118,0.0128,19360853,90001435
44,2023-02-20,0.0117,0.0175,0.0099,0.0159,17161891,90001435
45,2023-02-21,0.0157,0.0173,0.0115,0.0138,6385228,90001435
46,2023-02-22,0.011,0.0165,0.0107,0.0116,12524576,90001435
47,2023-02-23,0.012,0.0149,0.0091,0.0104,17937232,90001435
48,2023-02-24,0.0109,0.011,0.0067,0.0068,12065161,90001435
49,2023-02-27,0.0064,0.0068,0.0044,0.0047,8028998,90001435
50,2023-02-28,0.0052,0.006,0.0037,0.0054,9823735,90001435
51,2023-03-01,0.0052,0.0069,0.0045,0.0055,6958934,90001435
52,2023-03-02,0.0052,0.0054,0.0034,0.0035,5689704,90001435
53,2023-03-03,0.0037,0.0043,0.0024,0.0032,1418359,90001435
54,2023-03-06,0.0028,0.0039,0.0016,0.0031,2867767,90001435
55,2023-03-07,0.0027,0.0028,0.001,0.0012,3074752,90001435
56,2023-03-08,0.0013,0.0015,0.0009,0.0011,3594874,90001435
57,2023-03-09,0.0007,0.0011,0.0007,0.0009,334678,90001435
58,2023-03-10,0.0007,0.0012,0.0007,0.0007,1671862,90001435
59,2023-03-13,0.0009,0.001,0.0005,0.0005,835669,90001435
60,2023-03-14,0.0005,0.0006,0.0004,0.0004,3290755,90001435
61,2023-03-15,0.0005,0.0007,0.0003,0.0003,380093,90001435
62,2023-03-16,0.0003,0.0005,0.0003,0.0003,199314,90001435
63,2023-03-17,0.0004,0.0004,0.0002,0.0002,83009,90001435
64,2023-03-20,0.0002,0.0003,0.0001,0.0001,83448,90001435
65,2023-03-21,0.0001,0.0001,0.0001,0.0001,23268,90001435
66,2023-03-22,0.0001,0.0001,0.0001,0.0001,1062,90001435
