,日期,开盘,最高,最低,收盘,成交量,code
0,2023-02-23,0.0136,0.0136,0.0092,0.0116,8708,90001968
1,2023-02-24,0.0113,0.0113,0.0088,0.0095,966,90001968
2,2023-02-27,0.0088,0.0088,0.0063,0.0076,4995,90001968
3,2023-02-28,0.0082,0.0082,0.0058,0.0072,10909,90001968
4,2023-03-01,0.0073,0.0099,0.0065,0.0099,8285,90001968
5,2023-03-02,0.0099,0.0099,0.0082,0.0086,6815,90001968
6,2023-03-03,0.0089,0.0089,0.0064,0.0081,11805,90001968
7,2023-03-06,0.0077,0.0077,0.0061,0.0063,12001,90001968
8,2023-03-07,0.0063,0.0063,0.0041,0.0041,1639,90001968
9,2023-03-08,0.0041,0.0041,0.0031,0.0036,6710,90001968
10,2023-03-09,0.0035,0.0035,0.0025,0.0028,6602,90001968
11,2023-03-10,0.0026,0.0026,0.0016,0.0016,3267,90001968
12,2023-03-13,0.0013,0.0015,0.0013,0.0015,355,90001968
13,2023-03-14,0.0013,0.0018,0.0009,0.0015,22334,90001968
14,2023-03-15,0.0018,0.0022,0.0012,0.0012,7328,90001968
15,2023-03-16,0.0011,0.0014,0.0011,0.0013,840,90001968
16,2023-03-17,0.0013,0.0016,0.001,0.001,32269,90001968
17,2023-03-20,0.001,0.0014,0.0009,0.001,11685,90001968
18,2023-03-21,0.001,0.0011,0.001,0.0011,2310,90001968
19,2023-03-22,0.0016,0.0016,0.0009,0.001,13566,90001968
20,2023-03-23,0.001,0.0011,0.0006,0.0006,19069,90001968
21,2023-03-24,0.0007,0.0007,0.0006,0.0007,25877,90001968
22,2023-03-27,0.0005,0.0006,0.0005,0.0006,973,90001968
23,2023-03-28,0.0005,0.0005,0.0005,0.0005,5,90001968
24,2023-03-29,0.0004,0.0004,0.0004,0.0004,97,90001968
25,2023-03-30,0.0006,0.0006,0.0004,0.0005,1360,90001968
26,2023-03-31,0.0005,0.0006,0.0005,0.0006,341,90001968
27,2023-04-03,0.0006,0.0009,0.0006,0.0008,2142,90001968
28,2023-04-04,0.001,0.0012,0.001,0.0012,5364,90001968
29,2023-04-06,0.0011,0.0013,0.001,0.0012,4172,90001968
30,2023-04-07,0.0013,0.0014,0.001,0.001,27024,90001968
31,2023-04-10,0.001,0.0011,0.0006,0.0006,11895,90001968
32,2023-04-11,0.0005,0.0006,0.0004,0.0004,2349,90001968
33,2023-04-13,0.0004,0.0004,0.0003,0.0003,356,90001968
34,2023-04-17,0.0004,0.0005,0.0004,0.0005,3862,90001968
35,2023-04-18,0.0003,0.0004,0.0001,0.0004,8516,90001968
36,2023-04-19,0.0002,0.0002,0.0002,0.0002,168,90001968
37,2023-04-24,0.0001,0.0001,0.0001,0.0001,22,90001968
38,2023-04-25,0.0001,0.0001,0.0001,0.0001,313,90001968
39,2023-04-26,0.0001,0.0001,0.0001,0.0001,20,90001968
