,日期,开盘,最高,最低,收盘,成交量,code
0,2023-05-25,0.0512,0.0517,0.0424,0.049,7817,90002198
1,2023-05-26,0.0481,0.0481,0.0373,0.0418,22545,90002198
2,2023-05-29,0.0411,0.0411,0.0288,0.0302,38485,90002198
3,2023-05-30,0.0293,0.0324,0.0237,0.0316,11137,90002198
4,2023-05-31,0.0304,0.0304,0.0237,0.0265,10581,90002198
5,2023-06-01,0.0303,0.033,0.0284,0.0294,14614,90002198
6,2023-06-02,0.0319,0.041,0.0319,0.04,14228,90002198
7,2023-06-05,0.0403,0.0403,0.0323,0.0344,19941,90002198
8,2023-06-06,0.0326,0.0333,0.0255,0.0255,11806,90002198
9,2023-06-07,0.026,0.027,0.0199,0.021,55621,90002198
10,2023-06-08,0.021,0.0259,0.0197,0.0232,4463,90002198
11,2023-06-09,0.0232,0.025,0.0213,0.0239,16521,90002198
12,2023-06-12,0.0228,0.0307,0.022,0.0264,33167,90002198
13,2023-06-13,0.0272,0.0332,0.0268,0.0325,61929,90002198
14,2023-06-14,0.0328,0.0403,0.032,0.032,61205,90002198
15,2023-06-15,0.0339,0.061,0.0339,0.0594,517528,90002198
16,2023-06-16,0.0614,0.0823,0.0607,0.0756,482845,90002198
17,2023-06-19,0.0731,0.0746,0.0599,0.063,280702,90002198
18,2023-06-20,0.0603,0.0756,0.0603,0.0663,173615,90002198
19,2023-06-21,0.0626,0.066,0.0417,0.0425,497252,90002198
20,2023-06-26,0.0368,0.0397,0.0288,0.0321,3788415,90002198
21,2023-06-27,0.0322,0.0402,0.0291,0.0371,3484235,90002198
22,2023-06-28,0.0375,0.0375,0.0375,0.0375,7,90002198
23,2023-07-03,0.035,0.051,0.035,0.0432,11218359,90002198
24,2023-07-04,0.0428,0.048,0.0388,0.0441,6164180,90002198
25,2023-07-05,0.0451,0.0454,0.0291,0.031,4995514,90002198
26,2023-07-06,0.0291,0.0336,0.0227,0.0235,5999193,90002198
27,2023-07-07,0.0215,0.0215,0.0165,0.0174,5352321,90002198
28,2023-07-10,0.0209,0.0263,0.0175,0.0204,5678575,90002198
29,2023-07-11,0.0212,0.0264,0.018,0.0242,5395813,90002198
30,2023-07-12,0.02,0.0258,0.0149,0.0149,7908665,90002198
31,2023-07-13,0.0179,0.032,0.0179,0.0297,23941481,90002198
32,2023-07-14,0.0314,0.0348,0.0268,0.0273,8380031,90002198
33,2023-07-17,0.0256,0.0256,0.0132,0.0168,7334435,90002198
34,2023-07-18,0.0172,0.0177,0.0105,0.012,6192405,90002198
35,2023-07-19,0.0108,0.0133,0.0062,0.0088,14773139,90002198
36,2023-07-20,0.0089,0.015,0.0032,0.0033,19517495,90002198
37,2023-07-21,0.0039,0.0056,0.0017,0.0023,6901938,90002198
38,2023-07-24,0.0013,0.0014,0.0002,0.0002,474412,90002198
39,2023-07-25,0.001,0.0116,0.0009,0.0071,18031373,90002198
40,2023-07-26,0.0035,0.0044,0.0001,0.0001,2124481,90002198
