,日期,开盘,最高,最低,收盘,成交量,code
0,2023-05-25,0.0264,0.0378,0.0228,0.0271,343481,90002258
1,2023-05-26,0.0275,0.0306,0.0174,0.0188,5113,90002258
2,2023-05-29,0.0172,0.0206,0.0166,0.0183,2433,90002258
3,2023-05-30,0.019,0.0244,0.0149,0.0149,9071,90002258
4,2023-05-31,0.0156,0.021,0.0156,0.0167,1641,90002258
5,2023-06-01,0.0174,0.0207,0.0141,0.0175,31889,90002258
6,2023-06-02,0.0173,0.0173,0.0107,0.0107,58723,90002258
7,2023-06-05,0.0105,0.0131,0.0105,0.012,7671,90002258
8,2023-06-06,0.0116,0.0241,0.0116,0.0222,59602,90002258
9,2023-06-07,0.0226,0.0236,0.0192,0.0212,32970,90002258
10,2023-06-08,0.0204,0.0306,0.0201,0.0226,232032,90002258
11,2023-06-09,0.0215,0.0215,0.0131,0.0137,48403,90002258
12,2023-06-12,0.0135,0.0145,0.0091,0.0111,167443,90002258
13,2023-06-13,0.0113,0.0113,0.0083,0.0089,50043,90002258
14,2023-06-14,0.0089,0.009,0.0078,0.0089,70484,90002258
15,2023-06-15,0.0086,0.0086,0.0052,0.0055,110832,90002258
16,2023-06-16,0.0051,0.0051,0.0029,0.0032,28975,90002258
17,2023-06-19,0.0031,0.004,0.0031,0.0034,30942,90002258
18,2023-06-20,0.0039,0.0039,0.0029,0.0029,28171,90002258
19,2023-06-21,0.0032,0.0063,0.0032,0.0063,354787,90002258
20,2023-06-26,0.009,0.0132,0.0072,0.0119,1687310,90002258
21,2023-06-27,0.0124,0.0124,0.0078,0.0087,1588382,90002258
22,2023-07-03,0.0033,0.0036,0.0019,0.0025,550313,90002258
23,2023-07-04,0.0023,0.0024,0.0018,0.0018,56237,90002258
24,2023-07-05,0.0022,0.0023,0.0018,0.0021,133274,90002258
25,2023-07-06,0.0024,0.0049,0.0015,0.0031,449527,90002258
26,2023-07-07,0.0031,0.005,0.0023,0.003,1580234,90002258
27,2023-07-10,0.0021,0.0027,0.0012,0.0022,218540,90002258
28,2023-07-11,0.0017,0.0018,0.0006,0.0006,239755,90002258
29,2023-07-12,0.0006,0.0017,0.0006,0.0017,65043,90002258
30,2023-07-13,0.0016,0.0016,0.0005,0.0005,466902,90002258
31,2023-07-14,0.0001,0.0005,0.0001,0.0005,527,90002258
32,2023-07-17,0.0005,0.0006,0.0004,0.0004,6079,90002258
33,2023-07-18,0.0003,0.0004,0.0002,0.0002,16265,90002258
34,2023-07-19,0.0003,0.0003,0.0002,0.0003,2025,90002258
35,2023-07-20,0.0003,0.0004,0.0001,0.0004,52946,90002258
36,2023-07-21,0.0003,0.0003,0.0002,0.0003,21767,90002258
37,2023-07-24,0.0003,0.0003,0.0001,0.0001,8505,90002258
38,2023-07-25,0.0002,0.0004,0.0001,0.0001,29320,90002258
39,2023-07-26,0.0001,0.0001,0.0001,0.0001,1599,90002258
