,日期,开盘,最高,最低,收盘,成交量,code
0,2023-12-28,0.0283,0.0283,0.0131,0.0134,1711,90003028
1,2023-12-28,0.0283,0.0283,0.0131,0.0134,1711,90003028
2,2023-12-29,0.0114,0.0116,0.0104,0.0104,19,90003028
3,2024-01-02,0.0099,0.014,0.0099,0.014,83910,90003028
4,2024-01-03,0.0148,0.0205,0.0138,0.0183,16069,90003028
5,2024-01-04,0.0183,0.0296,0.0183,0.0272,62320,90003028
6,2024-01-05,0.0281,0.0383,0.0219,0.0336,92968,90003028
7,2024-01-08,0.0346,0.0574,0.0304,0.0574,720051,90003028
8,2024-01-09,0.056,0.0599,0.043,0.0492,1563235,90003028
9,2024-01-10,0.0497,0.0608,0.0397,0.0521,332563,90003028
10,2024-01-11,0.0506,0.0544,0.0313,0.0378,287712,90003028
11,2024-01-12,0.0374,0.0446,0.0336,0.0434,75100,90003028
12,2024-01-15,0.045,0.055,0.0372,0.0457,551349,90003028
13,2024-01-16,0.0475,0.0501,0.0365,0.0372,711403,90003028
14,2024-01-17,0.0377,0.0731,0.0377,0.0727,645819,90003028
15,2024-01-17,0.0377,0.0731,0.0377,0.0727,645819,90003028
16,2024-01-18,0.0819,0.1021,0.0441,0.059,1036595,90003028
17,2024-01-18,0.0819,0.1021,0.0441,0.059,1036595,90003028
18,2024-01-19,0.0621,0.0621,0.0405,0.0538,781328,90003028
19,2024-01-19,0.0621,0.0621,0.0405,0.0538,781328,90003028
20,2024-01-22,0.0554,0.1104,0.0488,0.0936,3190722,90003028
21,2024-01-22,0.0554,0.1104,0.0488,0.0936,3190722,90003028
22,2024-01-23,0.0922,0.115,0.0572,0.0626,6481923,90003028
23,2024-01-23,0.0922,0.115,0.0572,0.0626,6481923,90003028
24,2024-01-24,0.0591,0.0991,0.0358,0.0582,6363030,90003028
25,2024-01-24,0.0591,0.0991,0.0358,0.0582,6363030,90003028
26,2024-01-25,0.0601,0.0671,0.0363,0.0383,3891120,90003028
27,2024-01-25,0.0601,0.0671,0.0363,0.0383,3891120,90003028
28,2024-01-26,0.0403,0.05,0.0353,0.0411,3962289,90003028
29,2024-01-26,0.0403,0.05,0.0353,0.0411,3962289,90003028
30,2024-01-29,0.0399,0.0659,0.0379,0.0657,7607068,90003028
31,2024-01-29,0.0399,0.0659,0.0379,0.0657,7607068,90003028
32,2024-01-30,0.0673,0.0987,0.0673,0.0976,8967801,90003028
33,2024-01-30,0.0673,0.0987,0.0673,0.0976,8967801,90003028
34,2024-01-31,0.0969,0.1231,0.087,0.1113,1314716,90003028
35,2024-01-31,0.0969,0.1231,0.087,0.1113,1314716,90003028
36,2024-02-01,0.1118,0.12,0.0793,0.095,469075,90003028
37,2024-02-01,0.1118,0.12,0.0793,0.095,469075,90003028
38,2024-02-02,0.0953,0.1797,0.0944,0.1289,924095,90003028
39,2024-02-02,0.0953,0.1797,0.0944,0.1289,924095,90003028
40,2024-02-05,0.1448,0.1957,0.096,0.1197,772023,90003028
41,2024-02-05,0.1448,0.1957,0.096,0.1197,772023,90003028
42,2024-02-06,0.1288,0.1307,0.0472,0.0483,6170678,90003028
43,2024-02-06,0.1288,0.1307,0.0472,0.0483,6170678,90003028
44,2024-02-07,0.0469,0.0666,0.0319,0.0361,10593387,90003028
45,2024-02-07,0.0469,0.0666,0.0319,0.0361,10593387,90003028
46,2024-02-08,0.033,0.0347,0.0162,0.0248,7326596,90003028
47,2024-02-08,0.033,0.0347,0.0162,0.0248,7326596,90003028
48,2024-02-19,0.0137,0.0195,0.0108,0.0115,4931140,90003028
49,2024-02-19,0.0137,0.0195,0.0108,0.0115,4931140,90003028
50,2024-02-20,0.0123,0.015,0.0064,0.0078,3714293,90003028
51,2024-02-20,0.0123,0.015,0.0064,0.0078,3714293,90003028
52,2024-02-21,0.0081,0.0106,0.0015,0.0027,6203682,90003028
53,2024-02-21,0.0081,0.0106,0.0015,0.0027,6203682,90003028
54,2024-02-22,0.0025,0.0038,0.0017,0.0018,194355,90003028
55,2024-02-22,0.0025,0.0038,0.0017,0.0018,194355,90003028
56,2024-02-23,0.0013,0.0022,0.001,0.0012,166157,90003028
57,2024-02-26,0.0009,0.0009,0.0001,0.0002,36776,90003028
58,2024-02-26,0.0009,0.0009,0.0001,0.0002,36776,90003028
59,2024-02-27,0.0001,0.0002,0.0001,0.0001,12203,90003028
60,2024-02-28,0.0001,0.0001,0.0001,0.0001,4488,90003028
