,日期,开盘,最高,最低,收盘,成交量,code
0,2024-01-25,0.1864,0.1864,0.1709,0.1709,237,90003208
1,2024-01-25,0.1864,0.1864,0.1709,0.1709,237,90003208
2,2024-01-26,0.1801,0.1884,0.1775,0.1884,379,90003208
3,2024-01-26,0.1801,0.1884,0.1775,0.1884,379,90003208
4,2024-01-29,0.2041,0.2101,0.1988,0.2101,188,90003208
5,2024-01-29,0.2041,0.2101,0.1988,0.2101,188,90003208
6,2024-01-30,0.231,0.231,0.231,0.231,15,90003208
7,2024-01-30,0.231,0.231,0.231,0.231,15,90003208
8,2024-01-31,0.2504,0.2617,0.2489,0.2569,640,90003208
9,2024-01-31,0.2504,0.2617,0.2489,0.2569,640,90003208
10,2024-02-01,0.265,0.265,0.2331,0.2464,192,90003208
11,2024-02-01,0.265,0.265,0.2331,0.2464,192,90003208
12,2024-02-02,0.3082,0.3082,0.283,0.283,124,90003208
13,2024-02-02,0.3082,0.3082,0.283,0.283,124,90003208
14,2024-02-05,0.3002,0.3481,0.2547,0.2688,1261,90003208
15,2024-02-05,0.3002,0.3481,0.2547,0.2688,1261,90003208
16,2024-02-06,0.2681,0.2681,0.2153,0.2153,471,90003208
17,2024-02-06,0.2681,0.2681,0.2153,0.2153,471,90003208
18,2024-02-07,0.2131,0.2131,0.1784,0.1944,8824,90003208
19,2024-02-07,0.2131,0.2131,0.1784,0.1944,8824,90003208
20,2024-02-08,0.1797,0.1797,0.1533,0.1679,345,90003208
21,2024-02-08,0.1797,0.1797,0.1533,0.1679,345,90003208
22,2024-02-19,0.1677,0.1711,0.16,0.1676,2660,90003208
23,2024-02-19,0.1677,0.1711,0.16,0.1676,2660,90003208
24,2024-02-20,0.171,0.1731,0.1602,0.1628,22356,90003208
25,2024-02-20,0.171,0.1731,0.1602,0.1628,22356,90003208
26,2024-02-21,0.1746,0.1746,0.1354,0.1528,31021,90003208
27,2024-02-21,0.1746,0.1746,0.1354,0.1528,31021,90003208
28,2024-02-22,0.1517,0.1596,0.1507,0.1523,987,90003208
29,2024-02-22,0.1517,0.1596,0.1507,0.1523,987,90003208
30,2024-02-23,0.1502,0.1548,0.1502,0.154,124,90003208
31,2024-02-26,0.1596,0.1596,0.1496,0.1496,444,90003208
32,2024-02-26,0.1596,0.1596,0.1496,0.1496,444,90003208
33,2024-02-27,0.1614,0.1614,0.129,0.129,17275,90003208
34,2024-02-28,0.1218,0.155,0.1102,0.155,83463,90003208
35,2024-02-29,0.155,0.155,0.1234,0.1234,20415,90003208
36,2024-03-01,0.1237,0.1293,0.1156,0.1169,14342,90003208
37,2024-03-04,0.1122,0.1195,0.1105,0.113,4831,90003208
38,2024-03-05,0.1165,0.1175,0.1093,0.1152,5051,90003208
39,2024-03-06,0.1198,0.1198,0.1071,0.1111,683,90003208
40,2024-03-07,0.1084,0.1311,0.1082,0.1308,134529,90003208
41,2024-03-08,0.1251,0.1356,0.1207,0.1236,25888,90003208
42,2024-03-11,0.116,0.1225,0.0883,0.0883,80449,90003208
43,2024-03-12,0.0879,0.0919,0.0819,0.0842,93752,90003208
44,2024-03-13,0.0857,0.09,0.0837,0.088,7150,90003208
45,2024-03-14,0.0881,0.097,0.0816,0.09,8569,90003208
46,2024-03-18,0.0881,0.0881,0.0758,0.0759,6520,90003208
47,2024-03-19,0.0787,0.0822,0.0775,0.0809,3995,90003208
48,2024-03-20,0.0821,0.0821,0.0767,0.078,20592,90003208
49,2024-03-21,0.0757,0.081,0.075,0.0796,911,90003208
50,2024-03-22,0.082,0.0956,0.082,0.0908,31707,90003208
51,2024-03-22,0.082,0.0956,0.082,0.0908,31707,90003208
52,2024-03-25,0.0966,0.1073,0.0906,0.1056,19583,90003208
53,2024-03-26,0.1024,0.1087,0.0998,0.1035,32338,90003208
54,2024-03-27,0.1033,0.125,0.1033,0.1233,138863,90003208
55,2024-03-28,0.126,0.1275,0.1075,0.116,56150,90003208
56,2024-03-28,0.126,0.1275,0.1075,0.116,56150,90003208
57,2024-03-29,0.114,0.1177,0.107,0.107,20878,90003208
58,2024-04-01,0.106,0.106,0.0853,0.0853,20943,90003208
59,2024-04-02,0.0895,0.092,0.0855,0.0861,11382,90003208
60,2024-04-03,0.094,0.0956,0.0908,0.0942,9850,90003208
61,2024-04-08,0.0999,0.1099,0.0957,0.1099,13380,90003208
62,2024-04-09,0.1038,0.1114,0.0968,0.0988,19142,90003208
63,2024-04-10,0.1063,0.1168,0.1063,0.1147,614381,90003208
64,2024-04-11,0.1182,0.1207,0.1087,0.1202,158730,90003208
65,2024-04-12,0.1155,0.1327,0.1155,0.1298,185902,90003208
66,2024-04-15,0.1248,0.1263,0.1106,0.1162,30938,90003208
67,2024-04-16,0.1179,0.1389,0.1179,0.134,10824,90003208
68,2024-04-17,0.1314,0.1314,0.1145,0.1145,40076,90003208
69,2024-04-18,0.1161,0.1301,0.109,0.118,98442,90003208
70,2024-04-19,0.1234,0.146,0.1234,0.1378,88271,90003208
