,日期,开盘,最高,最低,收盘,成交量,code
0,2024-01-25,0.0865,0.1018,0.0731,0.0996,27640,90003219
1,2024-01-25,0.0865,0.1018,0.0731,0.0996,27640,90003219
2,2024-01-26,0.103,0.1038,0.0963,0.0983,997,90003219
3,2024-01-26,0.103,0.1038,0.0963,0.0983,997,90003219
4,2024-01-29,0.098,0.0984,0.0921,0.0921,212,90003219
5,2024-01-29,0.098,0.0984,0.0921,0.0921,212,90003219
6,2024-01-30,0.0887,0.089,0.0845,0.0873,1311,90003219
7,2024-01-30,0.0887,0.089,0.0845,0.0873,1311,90003219
8,2024-01-31,0.074,0.0828,0.0734,0.0765,733,90003219
9,2024-01-31,0.074,0.0828,0.0734,0.0765,733,90003219
10,2024-02-01,0.0726,0.082,0.0699,0.0753,16767,90003219
11,2024-02-01,0.0726,0.082,0.0699,0.0753,16767,90003219
12,2024-02-02,0.0779,0.0787,0.067,0.0698,19450,90003219
13,2024-02-02,0.0779,0.0787,0.067,0.0698,19450,90003219
14,2024-02-05,0.0694,0.0783,0.0682,0.0717,58829,90003219
15,2024-02-05,0.0694,0.0783,0.0682,0.0717,58829,90003219
16,2024-02-06,0.0728,0.0923,0.0718,0.0923,69856,90003219
17,2024-02-06,0.0728,0.0923,0.0718,0.0923,69856,90003219
18,2024-02-07,0.0921,0.1075,0.0916,0.1013,5113,90003219
19,2024-02-07,0.0921,0.1075,0.0916,0.1013,5113,90003219
20,2024-02-08,0.1056,0.1222,0.1056,0.1202,49168,90003219
21,2024-02-08,0.1056,0.1222,0.1056,0.1202,49168,90003219
22,2024-02-19,0.1192,0.1192,0.1095,0.1172,190,90003219
23,2024-02-19,0.1192,0.1192,0.1095,0.1172,190,90003219
24,2024-02-20,0.1192,0.1192,0.1046,0.111,6472,90003219
25,2024-02-20,0.1192,0.1192,0.1046,0.111,6472,90003219
26,2024-02-21,0.1081,0.143,0.1009,0.1343,13731,90003219
27,2024-02-21,0.1081,0.143,0.1009,0.1343,13731,90003219
28,2024-02-22,0.1356,0.1496,0.1307,0.1496,5865,90003219
29,2024-02-22,0.1356,0.1496,0.1307,0.1496,5865,90003219
30,2024-02-23,0.1509,0.1616,0.1489,0.1574,5494,90003219
31,2024-02-26,0.1447,0.1483,0.137,0.1448,14640,90003219
32,2024-02-26,0.1447,0.1483,0.137,0.1448,14640,90003219
33,2024-02-27,0.1365,0.1565,0.1365,0.1562,15636,90003219
34,2024-02-28,0.1614,0.1614,0.1516,0.1519,850,90003219
35,2024-02-29,0.1561,0.1635,0.1561,0.1635,4,90003219
36,2024-03-01,0.166,0.1724,0.1607,0.1724,4721,90003219
37,2024-03-04,0.1728,0.173,0.1677,0.1679,1406,90003219
38,2024-03-05,0.1693,0.1733,0.1614,0.169,4099,90003219
39,2024-03-06,0.169,0.1767,0.1605,0.1646,1774,90003219
40,2024-03-07,0.1652,0.1652,0.149,0.149,671,90003219
41,2024-03-08,0.151,0.1544,0.1403,0.1544,479,90003219
42,2024-03-11,0.153,0.1646,0.1481,0.1646,3015,90003219
43,2024-03-12,0.1721,0.1757,0.1616,0.1744,13187,90003219
44,2024-03-13,0.1753,0.1753,0.1615,0.1718,25027,90003219
45,2024-03-18,0.1679,0.1731,0.1606,0.1698,2139,90003219
46,2024-03-19,0.1718,0.174,0.17,0.1702,133,90003219
47,2024-03-20,0.1589,0.1659,0.1589,0.1659,330,90003219
48,2024-03-21,0.1683,0.1701,0.1593,0.16,2552,90003219
49,2024-03-22,0.1576,0.1587,0.1356,0.1409,16726,90003219
50,2024-03-22,0.1576,0.1587,0.1356,0.1409,16726,90003219
51,2024-03-25,0.1386,0.1469,0.133,0.133,9775,90003219
52,2024-03-26,0.1359,0.1401,0.1311,0.1358,14066,90003219
53,2024-03-27,0.1307,0.132,0.1227,0.1227,8763,90003219
54,2024-03-28,0.1216,0.1393,0.1176,0.1204,12482,90003219
55,2024-03-28,0.1216,0.1393,0.1176,0.1204,12482,90003219
56,2024-03-29,0.1238,0.1307,0.1196,0.1265,9199,90003219
57,2024-04-01,0.1393,0.1539,0.1393,0.1528,19672,90003219
58,2024-04-02,0.1559,0.1559,0.1441,0.1463,19519,90003219
59,2024-04-03,0.1424,0.143,0.1407,0.1407,477,90003219
60,2024-04-08,0.132,0.1332,0.123,0.1232,3244,90003219
61,2024-04-09,0.1189,0.1246,0.1178,0.1201,5425,90003219
62,2024-04-10,0.1193,0.1193,0.1025,0.1096,4235,90003219
63,2024-04-11,0.1038,0.1123,0.101,0.1034,46502,90003219
64,2024-04-12,0.1028,0.1056,0.09,0.0905,7789,90003219
65,2024-04-15,0.0887,0.123,0.0887,0.1145,41710,90003219
66,2024-04-16,0.1163,0.1163,0.1022,0.1048,10504,90003219
67,2024-04-17,0.1064,0.1287,0.1064,0.1284,8983,90003219
68,2024-04-18,0.1268,0.1484,0.1251,0.1325,26918,90003219
69,2024-04-19,0.1257,0.1295,0.1142,0.1198,23912,90003219
70,2024-04-22,0.1231,0.126,0.1139,0.114,3294,90003219
71,2024-04-23,0.113,0.1139,0.101,0.1031,10916,90003219
72,2024-04-24,0.1043,0.1103,0.1029,0.1084,2650,90003219
73,2024-04-25,0.1044,0.1122,0.1004,0.1085,11486,90003219
74,2024-04-26,0.1085,0.1346,0.1085,0.1328,16560,90003219
75,2024-04-29,0.1295,0.1769,0.1295,0.1661,51252,90003219
76,2024-04-30,0.1593,0.1635,0.1511,0.1511,2457,90003219
77,2024-05-06,0.1638,0.18,0.1638,0.1685,4709,90003219
78,2024-05-07,0.165,0.1672,0.1612,0.1653,1091,90003219
79,2024-05-08,0.16,0.16,0.1473,0.1473,213,90003219
80,2024-05-09,0.1468,0.1694,0.1468,0.166,4566,90003219
81,2024-05-10,0.1656,0.1689,0.1505,0.1659,29654,90003219
82,2024-05-13,0.1516,0.1687,0.1494,0.1632,7589,90003219
83,2024-05-14,0.1622,0.1696,0.1539,0.1579,8941,90003219
84,2024-05-15,0.1567,0.1567,0.1404,0.1432,6992,90003219
85,2024-05-15,0.1567,0.1567,0.1404,0.1432,6992,90003219
86,2024-05-16,0.1469,0.155,0.1416,0.1452,12359,90003219
87,2024-05-17,0.1452,0.1702,0.1418,0.1702,5225,90003219
88,2024-05-20,0.1775,0.1808,0.1648,0.1703,33988,90003219
89,2024-05-21,0.1741,0.1741,0.1519,0.1609,6717,90003219
90,2024-05-22,0.166,0.1667,0.1556,0.1631,24653,90003219
91,2024-05-23,0.1631,0.1631,0.1337,0.1397,25440,90003219
92,2024-05-24,0.1397,0.1429,0.1207,0.122,55260,90003219
93,2024-05-27,0.1282,0.1316,0.1182,0.1316,16045,90003219
94,2024-05-28,0.1316,0.1316,0.1154,0.1199,13673,90003219
95,2024-05-29,0.1199,0.1289,0.1152,0.1176,11203,90003219
96,2024-05-30,0.1164,0.1611,0.1083,0.1133,11322,90003219
97,2024-05-31,0.1114,0.1177,0.1035,0.1051,2256,90003219
98,2024-06-03,0.1087,0.1092,0.0954,0.102,20991,90003219
99,2024-06-04,0.101,0.1188,0.101,0.1144,12188,90003219
100,2024-06-05,0.1182,0.1182,0.1061,0.1061,2609,90003219
101,2024-06-06,0.1125,0.1202,0.1034,0.1088,4457,90003219
102,2024-06-07,0.1132,0.1132,0.0928,0.0999,47219,90003219
103,2024-06-11,0.0979,0.0979,0.084,0.0869,47462,90003219
104,2024-06-12,0.0854,0.0876,0.0806,0.084,14959,90003219
105,2024-06-13,0.0819,0.0864,0.0718,0.0744,4260,90003219
106,2024-06-14,0.07,0.0806,0.0686,0.079,13675,90003219
107,2024-06-17,0.0757,0.0765,0.0731,0.074,2003,90003219
108,2024-06-18,0.0748,0.0806,0.0744,0.0771,4488,90003219
109,2024-06-19,0.08,0.08,0.0726,0.0735,1176,90003219
110,2024-06-20,0.0734,0.0743,0.0631,0.065,102741,90003219
111,2024-06-21,0.0605,0.064,0.0555,0.0603,20146,90003219
112,2024-06-24,0.0551,0.0613,0.0514,0.0534,48400,90003219
113,2024-06-25,0.0532,0.0565,0.0445,0.0484,26243,90003219
114,2024-06-26,0.047,0.0529,0.0446,0.0493,147568,90003219
115,2024-06-27,0.0495,0.0499,0.0401,0.0423,196847,90003219
116,2024-06-28,0.0408,0.0482,0.0407,0.0409,65115,90003219
