,日期,开盘,最高,最低,收盘,成交量,code
0,2024-05-23,0.0035,0.0051,0.0035,0.0051,3510,90003656
1,2024-05-24,0.0057,0.0078,0.005,0.0078,5544,90003656
2,2024-05-27,0.007,0.007,0.0061,0.0061,3151,90003656
3,2024-05-28,0.0052,0.0056,0.005,0.0056,2252,90003656
4,2024-05-29,0.0059,0.0059,0.0048,0.0054,851,90003656
5,2024-05-30,0.0055,0.006,0.005,0.0057,469,90003656
6,2024-05-31,0.0058,0.0058,0.0048,0.0054,8766,90003656
7,2024-06-03,0.0058,0.0061,0.0048,0.0054,9207,90003656
8,2024-06-04,0.0058,0.0058,0.0037,0.0038,2916,90003656
9,2024-06-05,0.0037,0.0037,0.0033,0.0037,734,90003656
10,2024-06-06,0.0039,0.0049,0.003,0.0042,886,90003656
11,2024-06-07,0.0042,0.0074,0.0039,0.0053,23966,90003656
12,2024-06-11,0.0055,0.0077,0.0055,0.0061,127945,90003656
13,2024-06-12,0.0059,0.0063,0.0048,0.005,9281,90003656
14,2024-06-13,0.0052,0.0053,0.0045,0.0049,87297,90003656
15,2024-06-14,0.0055,0.0058,0.0031,0.0032,24310,90003656
16,2024-06-17,0.004,0.004,0.0028,0.0031,5725,90003656
17,2024-06-18,0.0034,0.0034,0.0024,0.0026,10388,90003656
18,2024-06-19,0.003,0.003,0.0023,0.003,37032,90003656
19,2024-06-20,0.003,0.0039,0.0026,0.0039,117209,90003656
20,2024-06-21,0.004,0.0053,0.0034,0.0034,309805,90003656
21,2024-06-24,0.004,0.0054,0.0027,0.0038,81794,90003656
22,2024-06-25,0.0038,0.0076,0.0034,0.0056,1162588,90003656
23,2024-06-26,0.0064,0.0075,0.003,0.0033,1481633,90003656
24,2024-06-27,0.0038,0.0053,0.0036,0.004,511120,90003656
25,2024-06-28,0.0046,0.0046,0.0018,0.0022,614619,90003656
