,合约系列,隐含波动率(%),date
0,pg2011,54.55,2020-03-31
1,pg2012,38.89,2020-03-31
2,pg2101,49.04,2020-03-31
3,pg2102,46.37,2020-03-31
4,pg2103,40.48,2020-03-31
5,pg2011,53.38,2020-04-01
6,pg2012,53.59,2020-04-01
7,pg2101,51.39,2020-04-01
8,pg2102,49,2020-04-01
9,pg2103,47.48,2020-04-01
10,pg2011,51.7,2020-04-02
11,pg2012,51.48,2020-04-02
12,pg2101,48.6,2020-04-02
13,pg2102,48.6,2020-04-02
14,pg2103,48.6,2020-04-02
15,pg2011,53.41,2020-04-03
16,pg2012,64.26,2020-04-03
17,pg2101,51.42,2020-04-03
18,pg2102,51.42,2020-04-03
19,pg2103,50.21,2020-04-03
20,pg2011,53.69,2020-04-07
21,pg2012,55.41,2020-04-07
22,pg2101,53.4,2020-04-07
23,pg2102,53.4,2020-04-07
24,pg2103,51.9,2020-04-07
25,pg2011,54.2,2020-04-08
26,pg2012,53.05,2020-04-08
27,pg2101,53.45,2020-04-08
28,pg2102,53.45,2020-04-08
29,pg2103,53.45,2020-04-08
30,pg2011,53.12,2020-04-09
31,pg2012,53.12,2020-04-09
32,pg2101,52.74,2020-04-09
33,pg2102,52.74,2020-04-09
34,pg2103,52.74,2020-04-09
35,pg2011,48.09,2020-04-10
36,pg2012,47.22,2020-04-10
37,pg2101,46.56,2020-04-10
38,pg2102,44.17,2020-04-10
39,pg2103,44.11,2020-04-10
40,pg2011,44.11,2020-04-13
41,pg2012,44.11,2020-04-13
42,pg2101,43.01,2020-04-13
43,pg2102,44.32,2020-04-13
44,pg2103,43.47,2020-04-13
45,pg2011,39,2020-04-14
46,pg2012,37.46,2020-04-14
47,pg2101,36.65,2020-04-14
48,pg2102,36.49,2020-04-14
49,pg2103,36.99,2020-04-14
50,pg2011,37.62,2020-04-15
51,pg2012,37.62,2020-04-15
52,pg2101,35.76,2020-04-15
53,pg2102,35.76,2020-04-15
54,pg2103,35.76,2020-04-15
55,pg2011,38.39,2020-04-16
56,pg2012,33.8,2020-04-16
57,pg2101,37,2020-04-16
58,pg2102,37,2020-04-16
59,pg2103,37,2020-04-16
60,pg2011,39.94,2020-04-17
61,pg2012,39.94,2020-04-17
62,pg2101,38.06,2020-04-17
63,pg2102,38.06,2020-04-17
64,pg2103,38.06,2020-04-17
65,pg2011,39.74,2020-04-20
66,pg2012,39.34,2020-04-20
67,pg2101,39.17,2020-04-20
68,pg2102,34.14,2020-04-20
69,pg2103,37.64,2020-04-20
70,pg2011,42.02,2020-04-21
71,pg2012,38.47,2020-04-21
72,pg2101,39.18,2020-04-21
73,pg2102,39.18,2020-04-21
74,pg2103,38.64,2020-04-21
75,pg2011,44.89,2020-04-22
76,pg2012,43.42,2020-04-22
77,pg2101,42.7,2020-04-22
78,pg2102,42.7,2020-04-22
79,pg2103,42.82,2020-04-22
80,pg2011,44.03,2020-04-23
81,pg2012,42.41,2020-04-23
82,pg2101,42.38,2020-04-23
83,pg2102,42.38,2020-04-23
84,pg2103,39.4,2020-04-23
85,pg2011,44.38,2020-04-24
86,pg2012,37.12,2020-04-24
87,pg2101,42.39,2020-04-24
88,pg2102,42.39,2020-04-24
89,pg2103,42.39,2020-04-24
90,pg2011,46.18,2020-04-27
91,pg2012,42.26,2020-04-27
92,pg2101,45.61,2020-04-27
93,pg2102,42.74,2020-04-27
94,pg2103,42.28,2020-04-27
95,pg2011,48.42,2020-04-28
96,pg2012,41.57,2020-04-28
97,pg2101,44.78,2020-04-28
98,pg2102,42.53,2020-04-28
99,pg2103,34.65,2020-04-28
100,pg2011,49.24,2020-04-29
101,pg2012,49.24,2020-04-29
102,pg2101,44.65,2020-04-29
103,pg2102,44.65,2020-04-29
104,pg2103,44.65,2020-04-29
105,pg2011,49.02,2020-04-30
106,pg2012,45.62,2020-04-30
107,pg2101,45.68,2020-04-30
108,pg2102,45.68,2020-04-30
109,pg2103,41.63,2020-04-30
110,pg2011,47.94,2020-05-06
111,pg2012,51.22,2020-05-06
112,pg2101,48.2,2020-05-06
113,pg2102,48.2,2020-05-06
114,pg2103,48.2,2020-05-06
115,pg2011,45.99,2020-05-07
116,pg2012,47.49,2020-05-07
117,pg2101,43.03,2020-05-07
118,pg2102,43.03,2020-05-07
119,pg2103,43.03,2020-05-07
120,pg2011,44.31,2020-05-08
121,pg2012,46.84,2020-05-08
122,pg2101,41.45,2020-05-08
123,pg2102,41.45,2020-05-08
124,pg2103,41.45,2020-05-08
125,pg2011,42.74,2020-05-11
126,pg2012,39,2020-05-11
127,pg2101,41.57,2020-05-11
128,pg2102,41.57,2020-05-11
129,pg2103,40.1,2020-05-11
130,pg2011,42.75,2020-05-12
131,pg2012,41.18,2020-05-12
132,pg2101,43.38,2020-05-12
133,pg2102,38.38,2020-05-12
134,pg2103,38.56,2020-05-12
135,pg2104,38.19,2020-05-12
136,pg2011,41.69,2020-05-13
137,pg2012,39.55,2020-05-13
138,pg2101,40.24,2020-05-13
139,pg2102,40.24,2020-05-13
140,pg2103,35.75,2020-05-13
141,pg2104,35.99,2020-05-13
142,pg2011,40.47,2020-05-14
143,pg2012,38.53,2020-05-14
144,pg2101,39.73,2020-05-14
145,pg2102,39.73,2020-05-14
146,pg2103,36.83,2020-05-14
147,pg2104,37.55,2020-05-14
148,pg2011,39.77,2020-05-15
149,pg2012,39.29,2020-05-15
150,pg2101,40.19,2020-05-15
151,pg2102,40.19,2020-05-15
152,pg2103,40.19,2020-05-15
153,pg2104,40.19,2020-05-15
154,pg2011,40.36,2020-05-18
155,pg2012,39.17,2020-05-18
156,pg2101,39.37,2020-05-18
157,pg2102,39.37,2020-05-18
158,pg2103,38.16,2020-05-18
159,pg2104,38.16,2020-05-18
160,pg2011,39.41,2020-05-19
161,pg2012,36.8,2020-05-19
162,pg2101,39.16,2020-05-19
163,pg2102,39.16,2020-05-19
164,pg2103,38.1,2020-05-19
165,pg2104,38.1,2020-05-19
166,pg2011,39.06,2020-05-20
167,pg2012,37.03,2020-05-20
168,pg2101,38.74,2020-05-20
169,pg2102,36.46,2020-05-20
170,pg2103,36.46,2020-05-20
171,pg2104,36.46,2020-05-20
172,pg2011,38.56,2020-05-21
173,pg2012,36.44,2020-05-21
174,pg2101,36.85,2020-05-21
175,pg2102,36.85,2020-05-21
176,pg2103,37.38,2020-05-21
177,pg2104,37.38,2020-05-21
178,pg2011,38.77,2020-05-22
179,pg2012,37.69,2020-05-22
180,pg2101,36.4,2020-05-22
181,pg2102,36.4,2020-05-22
182,pg2103,37.3,2020-05-22
183,pg2104,36.99,2020-05-22
184,pg2011,37.68,2020-05-25
185,pg2012,35.89,2020-05-25
186,pg2101,39.61,2020-05-25
187,pg2102,39.61,2020-05-25
188,pg2103,36.66,2020-05-25
189,pg2104,36.42,2020-05-25
190,pg2011,41.03,2020-05-26
191,pg2012,36.51,2020-05-26
192,pg2101,42.18,2020-05-26
193,pg2102,42.18,2020-05-26
194,pg2103,36.95,2020-05-26
195,pg2104,35.44,2020-05-26
196,pg2011,37.73,2020-05-27
197,pg2012,44.23,2020-05-27
198,pg2101,35.18,2020-05-27
199,pg2102,35.18,2020-05-27
200,pg2103,35.71,2020-05-27
201,pg2104,34.72,2020-05-27
202,pg2011,37.01,2020-05-28
203,pg2012,36.1,2020-05-28
204,pg2101,38.44,2020-05-28
205,pg2102,35.17,2020-05-28
206,pg2103,34.53,2020-05-28
207,pg2104,26.86,2020-05-28
208,pg2105,35.31,2020-05-28
209,pg2011,34.86,2020-05-29
210,pg2012,33.43,2020-05-29
211,pg2101,37.12,2020-05-29
212,pg2102,32.22,2020-05-29
213,pg2103,32.52,2020-05-29
214,pg2104,32.28,2020-05-29
215,pg2105,32.28,2020-05-29
216,pg2011,35.39,2020-06-01
217,pg2012,33.67,2020-06-01
218,pg2101,37.15,2020-06-01
219,pg2102,31.74,2020-06-01
220,pg2103,32.47,2020-06-01
221,pg2104,30.64,2020-06-01
222,pg2105,30.54,2020-06-01
223,pg2011,35.95,2020-06-02
224,pg2012,32.01,2020-06-02
225,pg2101,36.81,2020-06-02
226,pg2102,32.26,2020-06-02
227,pg2103,31.17,2020-06-02
228,pg2104,30.44,2020-06-02
229,pg2105,30.44,2020-06-02
230,pg2011,34.37,2020-06-03
231,pg2012,30.7,2020-06-03
232,pg2101,35.82,2020-06-03
233,pg2102,29.42,2020-06-03
234,pg2103,29.78,2020-06-03
235,pg2104,30.2,2020-06-03
236,pg2105,30.2,2020-06-03
237,pg2011,34.41,2020-06-04
238,pg2012,30.5,2020-06-04
239,pg2101,35.84,2020-06-04
240,pg2102,28.25,2020-06-04
241,pg2103,28.97,2020-06-04
242,pg2104,30.16,2020-06-04
243,pg2105,30.16,2020-06-04
244,pg2011,33.93,2020-06-05
245,pg2012,29.63,2020-06-05
246,pg2101,35.23,2020-06-05
247,pg2102,30.23,2020-06-05
248,pg2103,28.6,2020-06-05
249,pg2104,28.5,2020-06-05
250,pg2105,28.5,2020-06-05
251,pg2011,33.73,2020-06-08
252,pg2012,29.01,2020-06-08
253,pg2101,34.62,2020-06-08
254,pg2102,28.92,2020-06-08
255,pg2103,31.91,2020-06-08
256,pg2104,27.88,2020-06-08
257,pg2105,29.22,2020-06-08
