,合约代码   ,昨结算    ,今开盘    ,最高价    ,最低价    ,今收盘    ,今结算    ,涨跌1     ,涨跌2     ,成交量(手),持仓量    ,增减量    ,成交额(万元),DELTA     ,隐含波动率,行权量,date
0,CF401C12800,"3,670.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,505.00  ",-165.00   ,-165.00   ,0         ,25        ,0         ,0.00        ,1.0000    ,22.29     ,0,2023-10-20
1,CF401C13000,"3,470.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,305.00  ",-165.00   ,-165.00   ,0         ,4         ,0         ,0.00        ,1.0000    ,21.93     ,0,2023-10-20
2,CF401C13200,"3,270.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"3,105.00  ",-165.00   ,-165.00   ,0         ,12        ,0         ,0.00        ,1.0000    ,21.57     ,0,2023-10-20
3,CF401C13400,"3,070.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,905.00  ",-165.00   ,-165.00   ,0         ,9         ,0         ,0.00        ,0.9978    ,21.22     ,0,2023-10-20
4,CF401C13600,"2,870.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,706.00  ",-164.00   ,-164.00   ,0         ,6         ,0         ,0.00        ,0.9931    ,20.88     ,0,2023-10-20
5,CF401C13800,"2,671.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,508.00  ",-163.00   ,-163.00   ,0         ,7         ,0         ,0.00        ,0.9871    ,20.54     ,0,2023-10-20
6,CF401C14000,"2,474.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,311.00  ",-163.00   ,-163.00   ,0         ,106       ,0         ,0.00        ,0.9794    ,20.21     ,0,2023-10-20
7,CF401C14200,"2,278.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"2,116.00  ",-162.00   ,-162.00   ,0         ,84        ,0         ,0.00        ,0.9692    ,19.89     ,0,2023-10-20
8,CF401C14400,"2,084.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,924.00  ",-160.00   ,-160.00   ,0         ,309       ,0         ,0.00        ,0.9548    ,19.59     ,0,2023-10-20
9,CF401C14600,"1,893.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,735.00  ",-158.00   ,-158.00   ,0         ,243       ,0         ,0.00        ,0.9361    ,19.30     ,0,2023-10-20
10,CF401C14800,"1,706.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,550.00  ",-156.00   ,-156.00   ,0         ,306       ,0         ,0.00        ,0.9121    ,19.04     ,0,2023-10-20
11,CF401C15000,"1,524.00  ",0.00      ,0.00      ,0.00      ,0.00      ,"1,370.00  ",-154.00   ,-154.00   ,0         ,291       ,0         ,0.00        ,0.8819    ,18.80     ,0,2023-10-20
12,CF401C15200,"1,348.00  ","1,236.00  ","1,282.00  ","1,025.00  ","1,025.00  ","1,197.00  ",-323.00   ,-151.00   ,8         ,231       ,1         ,4.61        ,0.8444    ,18.59     ,0,2023-10-20
13,CF401C15400,"1,179.00  ",955.00    ,955.00    ,933.00    ,933.00    ,"1,034.00  ",-246.00   ,-145.00   ,5         ,237       ,1         ,2.46        ,0.7988    ,18.42     ,0,2023-10-20
14,CF401C15600,"1,019.00  ",981.00    ,992.00    ,728.00    ,728.00    ,882.00    ,-291.00   ,-137.00   ,246       ,500       ,36        ,106.79      ,0.7446    ,18.30     ,0,2023-10-20
15,CF401C15800,869.00    ,809.00    ,850.00    ,600.00    ,603.00    ,743.00    ,-266.00   ,-126.00   ,369       ,426       ,58        ,133.24      ,0.6835    ,18.23     ,0,2023-10-20
16,CF401C16000,732.00    ,678.00    ,718.00    ,493.00    ,507.00    ,619.00    ,-225.00   ,-113.00   ,"1,235     ","1,539     ",54        ,352.80      ,0.6174    ,18.23     ,0,2023-10-20
17,CF401C16200,613.00    ,578.00    ,598.00    ,404.00    ,416.00    ,509.00    ,-197.00   ,-104.00   ,"1,485     ","1,777     ",7         ,362.28      ,0.5485    ,18.29     ,0,2023-10-20
18,CF401C16400,511.00    ,462.00    ,498.00    ,322.00    ,333.00    ,416.00    ,-178.00   ,-95.00    ,"2,293     ","2,076     ",173       ,460.15      ,0.4796    ,18.42     ,0,2023-10-20
19,CF401C16600,423.00    ,380.00    ,415.00    ,260.00    ,262.00    ,336.00    ,-161.00   ,-87.00    ,"4,013     ","2,212     ",963       ,673.70      ,0.4134    ,18.62     ,0,2023-10-20
20,CF401C16800,349.00    ,314.00    ,335.00    ,206.00    ,206.00    ,270.00    ,-143.00   ,-79.00    ,"6,682     ","4,023     ","1,365     ",922.86      ,0.3516    ,18.87     ,0,2023-10-20
21,CF401C17000,285.00    ,270.00    ,274.00    ,164.00    ,167.00    ,218.00    ,-118.00   ,-67.00    ,"11,487    ","7,686     ","2,212     ","1,234.60    ",0.2966    ,19.16     ,0,2023-10-20
22,CF401C17200,234.00    ,203.00    ,221.00    ,130.00    ,134.00    ,176.00    ,-100.00   ,-58.00    ,"7,693     ","7,911     ",70        ,665.70      ,0.2488    ,19.50     ,0,2023-10-20
23,CF401C17400,191.00    ,167.00    ,181.00    ,104.00    ,106.00    ,141.00    ,-85.00    ,-50.00    ,"5,530     ","6,932     ",556       ,382.79      ,0.2070    ,19.86     ,0,2023-10-20
24,CF401C17600,154.00    ,136.00    ,148.00    ,83.00     ,86.00     ,113.00    ,-68.00    ,-41.00    ,"6,242     ","10,407    ",233       ,349.99      ,0.1712    ,20.24     ,0,2023-10-20
25,CF401C17800,125.00    ,107.00    ,118.00    ,65.00     ,65.00     ,92.00     ,-60.00    ,-33.00    ,"6,845     ","9,741     ","2,248     ",311.35      ,0.1425    ,20.63     ,0,2023-10-20
26,CF401C18000,101.00    ,89.00     ,98.00     ,57.00     ,60.00     ,73.00     ,-41.00    ,-28.00    ,"23,429    ","25,073    ","1,082     ",911.32      ,0.1171    ,21.03     ,0,2023-10-20
