,合约系列,隐含波动率(%),date
0,i2002,27.83,2019-12-09
1,i2003,25.25,2019-12-09
2,i2004,24.85,2019-12-09
3,i2005,26.36,2019-12-09
4,i2006,25.2,2019-12-09
5,i2007,26.05,2019-12-09
6,i2008,22.62,2019-12-09
7,i2009,25.34,2019-12-09
8,i2010,22.69,2019-12-09
9,i2011,24.83,2019-12-09
10,i2002,28.98,2019-12-10
11,i2003,22.23,2019-12-10
12,i2004,28.14,2019-12-10
13,i2005,25.59,2019-12-10
14,i2006,27.09,2019-12-10
15,i2007,23.75,2019-12-10
16,i2008,24.45,2019-12-10
17,i2009,25.46,2019-12-10
18,i2010,24.35,2019-12-10
19,i2011,25.9,2019-12-10
20,i2002,26.42,2019-12-11
21,i2003,25.02,2019-12-11
22,i2004,24.34,2019-12-11
23,i2005,23.42,2019-12-11
24,i2006,24.14,2019-12-11
25,i2007,24.7,2019-12-11
26,i2008,24.46,2019-12-11
27,i2009,24.33,2019-12-11
28,i2010,24.41,2019-12-11
29,i2011,24.19,2019-12-11
30,i2002,25.31,2019-12-12
31,i2003,24.11,2019-12-12
32,i2004,24.59,2019-12-12
33,i2005,23.6,2019-12-12
34,i2006,22.71,2019-12-12
35,i2007,24.26,2019-12-12
36,i2008,24.27,2019-12-12
37,i2009,23.39,2019-12-12
38,i2010,23.7,2019-12-12
39,i2011,24.02,2019-12-12
40,i2002,25.63,2019-12-13
41,i2003,24.48,2019-12-13
42,i2004,23.57,2019-12-13
43,i2005,23.21,2019-12-13
44,i2006,23.56,2019-12-13
45,i2007,23.62,2019-12-13
46,i2008,23.44,2019-12-13
47,i2009,23.2,2019-12-13
48,i2010,23.63,2019-12-13
49,i2011,23.5,2019-12-13
50,i2002,25.96,2019-12-16
51,i2003,23.41,2019-12-16
52,i2004,23.62,2019-12-16
53,i2005,23.54,2019-12-16
54,i2006,22.67,2019-12-16
55,i2007,23.83,2019-12-16
56,i2008,24.67,2019-12-16
57,i2009,23.64,2019-12-16
58,i2010,22.44,2019-12-16
59,i2011,23.02,2019-12-16
60,i2002,24.5,2019-12-17
61,i2003,23.61,2019-12-17
62,i2004,24.6,2019-12-17
63,i2005,23.37,2019-12-17
64,i2006,23.58,2019-12-17
65,i2007,23.4,2019-12-17
66,i2008,20.69,2019-12-17
67,i2009,22.95,2019-12-17
68,i2010,23.6,2019-12-17
69,i2011,23.71,2019-12-17
70,i2012,23.65,2019-12-17
71,i2002,24.83,2019-12-18
72,i2003,30.61,2019-12-18
73,i2004,30.61,2019-12-18
74,i2005,23.27,2019-12-18
