,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
0,cu1901                        ,31468,4152,4152,26598.916,,0.178258,2018-09-21
1,cu1902                        ,668,498,498,507.047,,0.165206,2018-09-21
2,cu1903                        ,736,506,506,777.286,,0.167456,2018-09-21
3,cu1904                        ,716,410,410,856.752,,0.165715,2018-09-21
4,cu1905                        ,616,424,424,739.889,,0.164283,2018-09-21
5,cu1906                        ,1192,578,578,1607.225,,0.162958,2018-09-21
6,cu1907                        ,1106,728,728,1661.887,,0.165013,2018-09-21
7,cu1908                        ,886,450,450,1310.129,,0.165375,2018-09-21
8,cu1909                        ,946,510,510,1498.405,,0.16445,2018-09-21
9,cu1901                        ,9588,6668,2516,9246.378,,0.18026,2018-09-25
10,cu1902                        ,1682,1080,582,1764.66,,0.173418,2018-09-25
11,cu1903                        ,406,668,162,444.41,,0.171147,2018-09-25
12,cu1904                        ,210,496,86,312.672,,0.169273,2018-09-25
13,cu1905                        ,166,482,58,270.325,,0.169777,2018-09-25
14,cu1906                        ,356,608,30,537.025,,0.168531,2018-09-25
15,cu1907                        ,166,786,58,241.821,,0.16873,2018-09-25
16,cu1908                        ,256,524,74,378.023,,0.169254,2018-09-25
17,cu1909                        ,772,1020,510,1466.845,,0.170014,2018-09-25
18,cu1901                        ,14510,7710,1042,15408.181,,0.182085,2018-09-26
19,cu1902                        ,1978,1592,512,1704.018,,0.175968,2018-09-26
20,cu1903                        ,450,820,152,508.422,,0.175476,2018-09-26
21,cu1904                        ,330,624,128,446.416,,0.17342,2018-09-26
22,cu1905                        ,270,608,126,375.393,,0.173738,2018-09-26
23,cu1906                        ,292,742,134,468.146,,0.171453,2018-09-26
24,cu1907                        ,316,904,118,550.327,,0.171653,2018-09-26
25,cu1908                        ,252,632,108,444.836,,0.171805,2018-09-26
26,cu1909                        ,404,1066,46,656.285,,0.172486,2018-09-26
27,cu1901                        ,19806,9224,1514,17126.949,,0.179339,2018-09-27
28,cu1902                        ,1128,1680,88,1051.494,,0.176157,2018-09-27
29,cu1903                        ,326,992,172,465.541,,0.174438,2018-09-27
30,cu1904                        ,216,748,124,288.966,,0.171021,2018-09-27
31,cu1905                        ,406,872,264,534.341,,0.171103,2018-09-27
32,cu1906                        ,160,832,90,238.123,,0.171297,2018-09-27
33,cu1907                        ,184,960,56,308.685,,0.17055,2018-09-27
34,cu1908                        ,302,758,126,489.834,,0.17189,2018-09-27
35,cu1909                        ,276,1138,72,460.342,,0.171361,2018-09-27
36,cu1901                        ,18610,10916,1692,18680.241,,0.172646,2018-09-28
37,cu1902                        ,538,1718,38,502.702,,0.170441,2018-09-28
38,cu1903                        ,552,1208,216,539.025,,0.167977,2018-09-28
39,cu1904                        ,274,844,96,348.143,,0.166872,2018-09-28
40,cu1905                        ,220,946,74,265.717,,0.168534,2018-09-28
41,cu1906                        ,176,874,42,253.872,,0.167502,2018-09-28
42,cu1907                        ,226,1028,68,335.959,,0.168444,2018-09-28
43,cu1908                        ,156,812,54,270.98,,0.168797,2018-09-28
44,cu1909                        ,276,1238,100,513.131,,0.170045,2018-09-28
45,cu1901                        ,15858,12362,1446,14966.405,,0.179931,2018-10-08
46,cu1902                        ,348,1722,4,292.965,,0.176634,2018-10-08
47,cu1903                        ,56,1222,14,43.347,,0.173748,2018-10-08
48,cu1904                        ,64,844,0,89.117,,0.176365,2018-10-08
