,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
0,al2010                        ,2485,1885,1885,251.0885,0,0.18133,2020-08-10
1,al2011                        ,80,34,34,8.5665,0,0.171343,2020-08-10
2,al2012                        ,70,57,57,14.87,0,0.165342,2020-08-10
3,al2101                        ,30,30,30,8.13,0,0.155703,2020-08-10
4,al2010                        ,2305,2739,854,283.4705,0,0.182215,2020-08-11
5,al2011                        ,185,197,163,25.2845,0,0.174026,2020-08-11
6,al2012                        ,5,61,4,1.0965,0,0.212523,2020-08-11
7,al2101                        ,11,41,11,1.3315,0,0.167438,2020-08-11
8,al2010                        ,2006,3385,646,247.8495,0,0.185368,2020-08-12
9,al2011                        ,13,200,3,0.528,0,0.198516,2020-08-12
10,al2012                        ,2,63,2,0.202,0,0.165498,2020-08-12
11,al2101                        ,14,54,13,1.6925,0,0.165019,2020-08-12
12,al2010                        ,2060,3991,606,270.6595,0,0.185249,2020-08-13
13,al2011                        ,27,221,21,0.9735,0,0.172995,2020-08-13
14,al2012                        ,0,63,0,0.0,0,0.172995,2020-08-13
15,al2101                        ,11,63,9,1.728,0,0.209105,2020-08-13
16,al2010                        ,2788,4652,661,184.3585,0,0.176839,2020-08-14
17,al2011                        ,20,240,19,1.1545,0,0.163643,2020-08-14
18,al2012                        ,6,63,0,0.4785,0,0.151577,2020-08-14
19,al2101                        ,24,66,3,2.9155,0,0.155946,2020-08-14
20,al2010                        ,1400,4700,48,96.5815,0,0.174056,2020-08-17
21,al2011                        ,12,252,12,0.848,0,0.179023,2020-08-17
22,al2012                        ,0,63,0,0.0,0,0.179023,2020-08-17
23,al2101                        ,0,66,0,0.0,0,0.179023,2020-08-17
24,al2010                        ,1045,4941,241,127.3965,0,0.176963,2020-08-18
25,al2011                        ,169,351,99,9.6465,0,0.158499,2020-08-18
26,al2012                        ,0,63,0,0.0,0,0.158499,2020-08-18
27,al2101                        ,0,66,0,0.0,0,0.158499,2020-08-18
28,al2010                        ,2179,5717,776,405.6925,0,0.173558,2020-08-19
29,al2011                        ,98,435,84,3.4225,0,0.176115,2020-08-19
30,al2012                        ,0,63,0,0.0,0,0.176115,2020-08-19
31,al2101                        ,0,66,0,0.0,0,0.176115,2020-08-19
32,al2010                        ,3487,6814,1097,222.9585,0,0.185831,2020-08-20
33,al2011                        ,498,606,171,48.1,0,0.164498,2020-08-20
34,al2012                        ,1,64,1,0.1715,0,0.159391,2020-08-20
35,al2101                        ,0,66,0,0.0,0,0.159391,2020-08-20
36,al2010                        ,2864,7197,383,237.3635,0,0.189231,2020-08-21
37,al2011                        ,392,636,30,36.508,0,0.161432,2020-08-21
38,al2012                        ,1,65,1,0.6475,0,0.473953,2020-08-21
39,al2101                        ,0,66,0,0.0,0,0.473953,2020-08-21
40,al2010                        ,2143,7418,221,149.3175,0,0.190166,2020-08-24
41,al2011                        ,605,762,126,46.4465,0,0.167497,2020-08-24
42,al2012                        ,0,65,0,0.0,0,0.167497,2020-08-24
43,al2101                        ,0,66,0,0.0,0,0.167497,2020-08-24
44,al2010                        ,1557,7542,124,81.5975,0,0.167816,2020-08-25
45,al2011                        ,343,912,150,24.8395,0,0.157937,2020-08-25
46,al2012                        ,0,65,0,0.0,0,0.157937,2020-08-25
47,al2101                        ,0,66,0,0.0,0,0.157937,2020-08-25
48,al2010                        ,1207,7938,396,71.5295,0,0.172596,2020-08-26
49,al2011                        ,168,906,-6,5.809,0,0.153936,2020-08-26
50,al2012                        ,1,66,1,0.0175,0,0.192749,2020-08-26
51,al2101                        ,0,66,0,0.0,0,0.192749,2020-08-26
52,al2010                        ,2008,8373,435,135.3745,0,0.17804,2020-08-27
53,al2011                        ,292,906,0,12.1665,0,0.150241,2020-08-27
54,al2012                        ,0,66,0,0.0,0,0.150241,2020-08-27
55,al2101                        ,0,66,0,0.0,0,0.150241,2020-08-27
56,al2010                        ,1685,8421,48,59.9945,0,0.16132,2020-08-28
57,al2011                        ,216,949,43,10.682,0,0.150543,2020-08-28
58,al2012                        ,0,66,0,0.0,0,0.150543,2020-08-28
59,al2101                        ,0,66,0,0.0,0,0.150543,2020-08-28
60,al2010                        ,2274,8464,43,142.3885,0,0.170415,2020-08-31
61,al2011                        ,321,1089,140,9.9085,0,0.156461,2020-08-31
62,al2012                        ,0,66,0,0.0,0,0.156461,2020-08-31
63,al2101                        ,0,66,0,0.0,0,0.156461,2020-08-31
64,al2010                        ,2295,8559,95,190.5125,0,0.167877,2020-09-01
65,al2011                        ,167,1136,47,7.8295,0,0.160493,2020-09-01
66,al2012                        ,0,66,0,0.0,0,0.160493,2020-09-01
67,al2101                        ,0,66,0,0.0,0,0.160493,2020-09-01
68,al2010                        ,3273,8639,80,289.2865,0,0.165848,2020-09-02
69,al2011                        ,306,1233,97,23.1675,0,0.151945,2020-09-02
70,al2012                        ,3,67,1,0.7375,0,0.230109,2020-09-02
71,al2101                        ,0,66,0,0.0,0,0.230109,2020-09-02
72,al2010                        ,3432,8987,348,271.6305,0,0.165497,2020-09-03
73,al2011                        ,760,1470,237,82.034,0,0.150414,2020-09-03
74,al2012                        ,0,67,0,0.0,0,0.150414,2020-09-03
75,al2101                        ,34,100,34,7.8195,0,0.172098,2020-09-03
76,al2010                        ,3912,9252,265,274.614,0,0.164335,2020-09-04
77,al2011                        ,958,1916,446,91.4055,0,0.149917,2020-09-04
78,al2012                        ,0,67,0,0.0,0,0.149917,2020-09-04
79,al2101                        ,14,114,14,0.4575,0,0.175428,2020-09-04
80,al2010                        ,4063,9668,416,211.1835,0,0.187872,2020-09-07
81,al2011                        ,500,2077,161,66.6945,0,0.147813,2020-09-07
82,al2012                        ,10,77,10,0.38,0,0.153751,2020-09-07
83,al2101                        ,20,134,20,1.982,0,0.162093,2020-09-07
84,al2010                        ,2311,9635,-33,95.4875,0,0.183552,2020-09-08
85,al2011                        ,917,2091,14,101.9735,0,0.14971,2020-09-08
86,al2012                        ,0,77,0,0.0,0,0.14971,2020-09-08
87,al2101                        ,0,134,0,0.0,0,0.14971,2020-09-08
88,al2010                        ,4813,10302,667,220.6975,0,0.18446,2020-09-09
89,al2011                        ,706,2315,224,37.752,0,0.148468,2020-09-09
90,al2012                        ,0,77,0,0.0,0,0.148468,2020-09-09
91,al2101                        ,0,134,0,0.0,0,0.148468,2020-09-09
92,al2010                        ,1991,10454,152,89.8395,0,0.173577,2020-09-10
93,al2011                        ,155,2340,25,4.5065,0,0.162228,2020-09-10
94,al2012                        ,0,77,0,0.0,0,0.162228,2020-09-10
95,al2101                        ,0,134,0,0.0,0,0.162228,2020-09-10
96,al2010                        ,5407,10332,-122,363.7815,0,0.173156,2020-09-11
97,al2011                        ,928,2689,349,120.034,0,0.15407,2020-09-11
98,al2012                        ,0,77,0,0.0,0,0.15407,2020-09-11
99,al2101                        ,0,134,0,0.0,0,0.15407,2020-09-11
100,al2010                        ,4042,9935,-397,208.107,1,0.193474,2020-09-14
101,al2011                        ,1017,2868,179,105.7695,0,0.147437,2020-09-14
102,al2012                        ,11,79,2,0.2765,0,0.165947,2020-09-14
103,al2101                        ,1,134,0,0.0395,0,0.158654,2020-09-14
104,al2010                        ,3325,9782,-153,95.3295,0,0.193684,2020-09-15
