,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
0,zn2010                        ,4505,2188,2188,732.553,0,0.253323,2020-08-10
1,zn2011                        ,288,222,222,54.7505,0,0.210373,2020-08-10
2,zn2010                        ,2784,2901,713,474.364,0,0.251984,2020-08-11
3,zn2011                        ,186,356,134,31.8545,0,0.223384,2020-08-11
4,zn2012                        ,25,25,25,3.5125,0,0.222526,2020-08-11
5,zn2010                        ,7004,4048,1147,1482.0955,0,0.247973,2020-08-12
6,zn2011                        ,81,383,27,12.707,0,0.218413,2020-08-12
7,zn2012                        ,2,24,-1,0.306,0,0.226452,2020-08-12
8,zn2010                        ,3014,4063,15,618.413,0,0.242103,2020-08-13
9,zn2011                        ,14,387,4,3.2515,0,0.215043,2020-08-13
10,zn2012                        ,0,24,0,0.0,0,0.215043,2020-08-13
11,zn2010                        ,3954,4494,431,604.5935,0,0.235408,2020-08-14
12,zn2011                        ,44,422,35,12.844,0,0.198907,2020-08-14
13,zn2012                        ,4,28,4,0.3955,0,0.210993,2020-08-14
14,zn2010                        ,5554,4844,350,930.6195,0,0.248988,2020-08-17
15,zn2011                        ,21,428,6,4.2055,0,0.216352,2020-08-17
16,zn2012                        ,5,27,-1,2.924,0,0.252166,2020-08-17
17,zn2010                        ,5263,5188,344,952.198,0,0.260369,2020-08-18
18,zn2011                        ,757,682,254,154.7265,0,0.233614,2020-08-18
19,zn2012                        ,41,40,13,21.2805,0,0.230629,2020-08-18
20,zn2010                        ,3988,5767,579,798.686,0,0.260488,2020-08-19
21,zn2011                        ,670,870,188,117.9805,0,0.234609,2020-08-19
22,zn2012                        ,1,41,1,0.0565,0,0.253773,2020-08-19
23,zn2010                        ,7180,6083,316,1471.516,0,0.269228,2020-08-20
24,zn2011                        ,2593,1591,721,550.7355,0,0.22999,2020-08-20
25,zn2012                        ,8,47,6,2.791,0,0.238104,2020-08-20
26,zn2010                        ,3020,6159,76,521.2015,0,0.245446,2020-08-21
27,zn2011                        ,1627,1983,392,219.8975,0,0.229628,2020-08-21
28,zn2012                        ,5,52,5,0.242,0,0.247888,2020-08-21
29,zn2010                        ,5070,6425,266,695.107,0,0.238644,2020-08-24
30,zn2011                        ,1351,2073,90,202.2565,0,0.216162,2020-08-24
31,zn2012                        ,30,67,15,4.456,0,0.221322,2020-08-24
32,zn2010                        ,3537,6486,61,462.0255,0,0.231382,2020-08-25
33,zn2011                        ,335,2182,109,40.8855,0,0.211008,2020-08-25
34,zn2012                        ,1,67,0,1.409,0,0.206757,2020-08-25
35,zn2010                        ,2771,6954,468,300.193,0,0.223349,2020-08-26
36,zn2011                        ,653,2330,148,97.7095,0,0.200846,2020-08-26
37,zn2012                        ,9,60,-7,1.112,0,0.204399,2020-08-26
38,zn2010                        ,2181,7252,298,265.5705,0,0.209685,2020-08-27
39,zn2011                        ,299,2370,40,54.1685,0,0.197945,2020-08-27
40,zn2012                        ,0,60,0,0.0,0,0.197945,2020-08-27
41,zn2010                        ,6025,7629,377,662.5745,0,0.211941,2020-08-28
42,zn2011                        ,1185,2457,87,280.1505,0,0.188741,2020-08-28
43,zn2012                        ,0,60,0,0.0,0,0.188741,2020-08-28
44,zn2010                        ,3460,7828,199,394.2205,0,0.225203,2020-08-31
45,zn2011                        ,522,2499,42,80.1545,0,0.19052,2020-08-31
46,zn2012                        ,0,60,0,0.0,0,0.19052,2020-08-31
47,zn2010                        ,6175,8761,933,837.359,0,0.227732,2020-09-01
48,zn2011                        ,1066,2570,71,169.9555,0,0.186423,2020-09-01
49,zn2012                        ,0,60,0,0.0,0,0.186423,2020-09-01
