,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
0,au2004                        ,7144,3046,3046,3881.912,,0.133548,2019-12-20
1,au2006                        ,4274,2348,2348,3229.296,,0.127234,2019-12-20
2,au2008                        ,692,394,394,515.532,,0.121575,2019-12-20
3,au2010                        ,150,96,96,132.988,,0.120241,2019-12-20
4,au2012                        ,462,272,272,374.304,,0.119208,2019-12-20
5,au2004                        ,5956,4904,1858,3331.012,,0.147434,2019-12-23
6,au2006                        ,3436,3200,852,3237.484,,0.140782,2019-12-23
7,au2008                        ,1194,688,294,1191.636,,0.137517,2019-12-23
8,au2010                        ,258,224,128,363.896,,0.131145,2019-12-23
9,au2012                        ,978,1014,742,1126.7,,0.139986,2019-12-23
10,au2004                        ,5340,5856,952,3792.704,,0.155633,2019-12-24
11,au2006                        ,4234,4398,1198,4869.08,,0.152803,2019-12-24
12,au2008                        ,734,804,116,837.38,,0.142513,2019-12-24
13,au2010                        ,124,306,82,121.488,,0.141541,2019-12-24
14,au2012                        ,368,1270,256,487.596,,0.145137,2019-12-24
15,au2004                        ,6182,7512,1656,3969.832,,0.164904,2019-12-25
16,au2006                        ,2942,4934,536,3064.132,,0.158822,2019-12-25
17,au2008                        ,548,932,128,748.096,,0.14352,2019-12-25
18,au2010                        ,28,314,8,24.364,,0.131714,2019-12-25
19,au2012                        ,408,1408,138,680.256,,0.144155,2019-12-25
20,au2004                        ,5100,8098,586,2872.648,,0.161428,2019-12-26
21,au2006                        ,2488,5320,386,2676.5,,0.152797,2019-12-26
22,au2008                        ,332,1018,86,539.444,,0.139275,2019-12-26
23,au2010                        ,6,316,2,10.532,,0.145577,2019-12-26
24,au2012                        ,88,1452,44,116.1,,0.157661,2019-12-26
25,au2004                        ,5978,9080,982,3399.776,,0.149502,2019-12-27
26,au2006                        ,4238,5552,232,4029.66,,0.145411,2019-12-27
27,au2008                        ,1054,1146,128,1001.392,,0.136242,2019-12-27
28,au2010                        ,302,356,40,461.864,,0.139947,2019-12-27
29,au2012                        ,236,1500,48,308.744,,0.141692,2019-12-27
30,au2004                        ,4026,9964,884,2213.456,,0.148861,2019-12-30
31,au2006                        ,3090,5604,52,2829.18,,0.141566,2019-12-30
32,au2008                        ,682,1228,82,858.736,,0.128893,2019-12-30
33,au2010                        ,12,358,2,19.064,,0.152364,2019-12-30
34,au2012                        ,108,1554,54,148.24,,0.146323,2019-12-30
35,au2004                        ,4762,10614,650,2228.34,,0.14922,2019-12-31
36,au2006                        ,2820,6234,630,2740.864,,0.140834,2019-12-31
37,au2008                        ,1058,1292,64,1597.812,,0.137912,2019-12-31
38,au2010                        ,0,358,0,0.0,,0.137912,2019-12-31
39,au2012                        ,20,1560,6,31.24,,0.149411,2019-12-31
40,au2004                        ,841,5333,26,443.672,,0.148241,2020-01-02
41,au2006                        ,392,3161,44,349.51,,0.145659,2020-01-02
42,au2008                        ,147,662,16,185.528,,0.133533,2020-01-02
43,au2010                        ,0,179,0,0.0,,0.133533,2020-01-02
44,au2012                        ,43,777,-3,52.182,,0.135388,2020-01-02
45,au2004                        ,3400,5541,208,2851.944,,0.149309,2020-01-03
46,au2006                        ,2712,3665,504,2933.894,,0.14109,2020-01-03
47,au2008                        ,772,803,141,1024.742,,0.137294,2020-01-03
48,au2010                        ,5,181,2,7.65,,0.138986,2020-01-03
49,au2012                        ,26,789,12,26.576,,0.132427,2020-01-03
50,au2004                        ,4385,5677,136,3513.768,,0.151993,2020-01-06
51,au2006                        ,3255,3897,232,3378.076,,0.14107,2020-01-06
52,au2008                        ,965,1004,201,1326.376,,0.136746,2020-01-06
53,au2010                        ,5,184,3,4.102,,0.122459,2020-01-06
54,au2012                        ,29,792,3,54.088,,0.149222,2020-01-06
55,au2004                        ,4591,6147,470,3493.32,,0.162328,2020-01-07
56,au2006                        ,3636,4395,498,3950.45,,0.160349,2020-01-07
57,au2008                        ,1131,1207,203,1119.926,,0.149382,2020-01-07
58,au2010                        ,29,189,5,6.332,,0.126133,2020-01-07
59,au2012                        ,153,852,60,188.334,,0.134723,2020-01-07
60,au2004                        ,5602,6114,-33,5292.524,,0.183179,2020-01-08
61,au2006                        ,5782,5376,981,5637.538,,0.172025,2020-01-08
62,au2008                        ,2854,1825,618,2199.326,,0.156742,2020-01-08
63,au2010                        ,244,320,131,169.198,,0.14143,2020-01-08
64,au2012                        ,201,939,87,216.036,,0.143125,2020-01-08
65,au2004                        ,4918,6100,-14,3652.108,,0.172238,2020-01-09
66,au2006                        ,4476,5913,537,4993.226,,0.171116,2020-01-09
67,au2008                        ,1446,1863,38,1945.742,,0.167876,2020-01-09
68,au2010                        ,66,313,-7,37.862,,0.146516,2020-01-09
69,au2012                        ,72,921,-18,61.426,,0.13886,2020-01-09
70,au2004                        ,2634,6175,75,1373.398,,0.17153,2020-01-10
71,au2006                        ,2848,6295,382,3087.274,,0.170136,2020-01-10
72,au2008                        ,671,1946,83,856.61,,0.164026,2020-01-10
73,au2010                        ,33,329,16,10.186,,0.137275,2020-01-10
74,au2012                        ,16,917,-4,24.726,,0.136194,2020-01-10
75,au2004                        ,2072,6142,-33,1467.534,,0.174531,2020-01-13
76,au2006                        ,1759,6475,180,1951.734,,0.17031,2020-01-13
77,au2008                        ,387,1950,4,510.894,,0.164138,2020-01-13
78,au2010                        ,31,343,14,12.968,,0.146832,2020-01-13
79,au2012                        ,15,924,7,13.174,,0.136973,2020-01-13
80,au2004                        ,2206,6338,196,1349.096,,0.176561,2020-01-14
81,au2006                        ,2304,6842,367,2251.336,,0.177999,2020-01-14
82,au2008                        ,802,2098,148,940.99,,0.171722,2020-01-14
83,au2010                        ,17,355,12,9.73,,0.140181,2020-01-14
84,au2012                        ,14,927,3,16.854,,0.166989,2020-01-14
85,au2004                        ,1741,6463,125,1088.326,,0.174231,2020-01-15
86,au2006                        ,1624,6921,79,1535.94,,0.174317,2020-01-15
87,au2008                        ,734,2190,92,852.654,,0.169148,2020-01-15
88,au2010                        ,17,358,3,8.468,,0.131151,2020-01-15
89,au2012                        ,38,933,6,36.292,,0.135091,2020-01-15
90,au2004                        ,1977,6819,356,1214.316,,0.175239,2020-01-16
91,au2006                        ,1659,7041,120,1512.944,,0.169935,2020-01-16
92,au2008                        ,1530,2275,85,1583.846,,0.166889,2020-01-16
93,au2010                        ,48,378,20,17.732,,0.140588,2020-01-16
94,au2012                        ,82,987,54,51.912,,0.14004,2020-01-16
95,au2102                        ,36,32,32,10.986,,0.132838,2020-01-16
96,au2004                        ,1845,7148,329,893.218,,0.165983,2020-01-17
97,au2006                        ,1485,7225,184,1196.732,,0.170482,2020-01-17
98,au2008                        ,2253,2403,128,2037.082,,0.160588,2020-01-17
99,au2010                        ,93,402,24,61.03,,0.142284,2020-01-17
100,au2012                        ,81,1047,60,52.374,,0.137674,2020-01-17
101,au2102                        ,11,43,11,2.334,,0.127967,2020-01-17
102,au2004                        ,1558,7236,88,705.036,,0.173049,2020-01-20
103,au2006                        ,1347,7116,-109,1154.22,,0.17107,2020-01-20
104,au2008                        ,1014,2447,44,981.166,,0.157934,2020-01-20
105,au2010                        ,64,422,20,31.008,,0.138593,2020-01-20
106,au2012                        ,27,1065,18,19.12,,0.13464,2020-01-20
107,au2102                        ,4,47,4,1.44,,0.139607,2020-01-20
108,au2004                        ,1977,7303,67,1216.102,,0.162537,2020-01-21
109,au2006                        ,1750,7295,179,1557.912,,0.166127,2020-01-21
110,au2008                        ,864,2366,-81,831.534,,0.155636,2020-01-21
111,au2010                        ,61,455,33,20.678,,0.135903,2020-01-21
112,au2012                        ,22,1081,16,9.266,,0.136649,2020-01-21
113,au2102                        ,19,63,16,13.862,,0.154931,2020-01-21
114,au2004                        ,3179,7411,108,2444.5,,0.167353,2020-01-22
115,au2006                        ,2472,7232,-63,2768.36,,0.166122,2020-01-22
116,au2008                        ,1603,2563,197,2120.634,,0.158083,2020-01-22
117,au2010                        ,77,492,37,35.418,,0.143231,2020-01-22
118,au2012                        ,47,1107,26,29.462,,0.151934,2020-01-22
119,au2102                        ,11,72,9,7.92,,0.151619,2020-01-22
120,au2004                        ,2117,7459,48,1472.818,,0.174252,2020-01-23
121,au2006                        ,2010,7162,-70,1962.452,,0.17082,2020-01-23
122,au2008                        ,1807,2503,-60,1943.826,,0.166411,2020-01-23
123,au2010                        ,63,527,35,28.314,,0.153578,2020-01-23
124,au2012                        ,29,1112,5,20.616,,0.14482,2020-01-23
125,au2102                        ,24,93,21,4.378,,0.127564,2020-01-23
126,au2004                        ,1786,7121,-338,1323.984,,0.192227,2020-02-03
127,au2006                        ,1312,6892,-270,1304.85,,0.170494,2020-02-03
128,au2008                        ,169,2458,-45,213.63,,0.171194,2020-02-03
129,au2010                        ,55,545,18,19.278,,0.149204,2020-02-03
130,au2012                        ,11,1117,5,2.818,,0.142219,2020-02-03
131,au2102                        ,5,95,2,0.826,,0.133955,2020-02-03
132,au2004                        ,1703,7332,211,1112.41,,0.185062,2020-02-04
133,au2006                        ,1126,6913,21,1086.794,,0.172223,2020-02-04
134,au2008                        ,326,2452,-6,399.458,,0.170082,2020-02-04
135,au2010                        ,40,565,20,19.678,,0.151027,2020-02-04
136,au2012                        ,15,1126,9,4.98,,0.140502,2020-02-04
137,au2102                        ,2,97,2,1.044,,0.150377,2020-02-04
138,au2004                        ,1197,7597,265,586.886,,0.173353,2020-02-05
139,au2006                        ,1152,7025,112,911.732,,0.169151,2020-02-05
140,au2008                        ,184,2466,14,194.548,,0.169297,2020-02-05
141,au2010                        ,24,557,-8,8.224,,0.148726,2020-02-05
142,au2012                        ,16,1119,-7,7.29,,0.144491,2020-02-05
