date,closeprofit,positionprofit,dynbalance,fee
20160104,0,0,0,0
20160105,-6059.999999999945,5700,-431.08999999994546,71.09
20160106,-13859.999999999945,3359.9999999999454,-10618.75,118.75
20160107,-57540.00000000006,18900,-38804.41000000006,164.40999999999997
20160108,-56280.00000000012,1500,-54990.01000000012,210.01
20160111,-62580.00000000012,39359.99999999994,-23475.310000000176,255.31
20160112,-62580.00000000012,25920.00000000003,-36915.310000000085,255.31
20160113,-49020.00000000003,13739.999999999918,-35623.87000000011,343.86999999999995
20160114,-41100,9720.000000000027,-31767.649999999972,387.6499999999999
20160115,-55859.99999999994,28559.999999999945,-27730.749999999996,430.74999999999994
20160118,-58019.99999999988,-10500,-69077.18999999989,557.1899999999999
20160119,-91139.99999999977,5100,-86766.78999999976,726.7899999999998
20160120,-97439.99999999977,6600,-91609.50999999976,769.5099999999999
20160121,-120779.99999999983,9359.999999999945,-112274.38999999988,854.39
20160122,-126119.99999999988,-5400,-132416.60999999987,896.61
20160125,-133919.99999999988,-3059.9999999999454,-137918.46999999983,938.4699999999999
20160126,-133919.99999999988,40500,-94358.46999999988,938.4699999999999
20160127,-133919.99999999988,49920.00000000003,-84938.46999999986,938.4699999999999
20160128,-83339.99999999991,8939.999999999918,-75417.17,1017.17
20160129,-94500,6000,-89556.97,1056.97
20160201,-91920.00000000003,2579.9999999999727,-90436.89000000006,1096.89
20160202,-101100,7740.000000000055,-94497.22999999994,1137.2300000000002
20160203,-120779.99999999997,-600,-122597.84999999998,1217.8500000000001
20160204,-120779.99999999997,11220.000000000027,-110777.84999999995,1217.8500000000001
20160205,-114420.00000000003,7620.000000000027,-108058.73,1258.7300000000002
20160215,-102900,1680.0000000001091,-102519.08999999988,1299.0900000000004
20160216,-102900,27720.00000000003,-76479.08999999997,1299.0900000000004
20160217,-86339.99999999991,-2520.0000000000273,-90200.20999999995,1340.2100000000003
20160218,-101700,-240.00000000005457,-103362.83000000006,1422.8300000000002
20160219,-118800,-2880.000000000109,-123185.29000000011,1505.2900000000002
20160222,-131940.00000000006,8100,-125386.89000000006,1546.89
20160223,-128820.00000000003,900,-129508.65000000002,1588.6500000000003
20160224,-141539.9999999999,5160.000000000082,-138093.94999999984,1713.95
20160225,-149579.99999999983,44640.00000000006,-106695.28999999976,1755.2900000000002
20160226,-117479.99999999983,-2640.0000000000546,-121915.14999999988,1795.1500000000003
20160229,-139619.99999999988,7800,-133653.98999999987,1833.9900000000005
20160301,-143459.99999999994,10919.99999999989,-134413.01000000007,1873.0100000000004
20160302,-143459.99999999994,54359.99999999994,-90973.01,1873.0100000000004
